hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H,_rank_score
128,0.4,90,336,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7795844525098801,37744.36328125,194.27908606242207,0.8123284165338418,0.8532637593295621,0.9892257452011108,-0.008244557795386293,0.8834967195821032,-16.279584169387817,-19.85864434407832,32.48629767256087,0.4,39.05837297439575,0.7796382904052734,48132.9765625,219.3922892047485,0.8249258532690114,0.8733578050279459,1.0314671993255615,0.021321534194509228,0.8832844197510488,-13.235288858413696,-22.95872472629316,-1406.7352004231914,,39.24224674701691,0.7796113714575768
256,0.4,90,336,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7960974276065826,34916.6484375,186.85997013137938,0.8294523440929207,0.8689382643795427,0.9801641702651978,-0.015178555757311252,0.8926880050959595,-14.352647960186005,-18.41731615276963,13.531185076549907,0.4,37.199788093566895,0.7277047038078308,59476.68359375,243.87841969668,0.8125986393308817,0.8834011859560612,0.9904403686523438,-0.006477428936272688,0.8536012295383569,-12.125252187252045,-19.031241420660436,-41.45850107546571,,40.91102480888367,0.7619010657072067
64,0.4,90,336,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7991044819355011,34401.71875,185.4770032915132,0.8393233822573637,0.8823229217659718,1.0280909538269043,0.0214954379302314,0.8942645799147211,-12.557265162467957,-22.55763394504406,-47.25778439168096,0.4,34.673144817352295,0.7214641869068146,60839.78125,246.6572140643772,0.8233833075974586,0.909543490758209,1.0315907001495361,0.02140524535990708,0.8516318644888135,-8.044842630624771,-21.266099366284124,74.66988312081281,,41.08670651912689,0.7602843344211578
64,0.4,90,168,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7863700836896896,36582.37890625,191.2652056863715,0.7861982669037698,0.8193965805236546,0.9688586592674255,-0.02382960760491964,0.8898918584037467,-19.255270063877106,-22.372339784119596,-68.0618570430838,0.4,40.637755393981934,0.7164434492588043,61936.4453125,248.87033835413172,0.8038980376566078,0.8779958737316975,1.0132365226745605,0.0089687829180119,0.8470432503093664,-11.265365034341812,-27.447184365747862,-1411.1670664454714,,43.88176202774048,0.751406766474247
256,0.4,90,168,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7815806269645691,37402.53515625,193.39735043751244,0.795180750845855,0.8299573136996903,0.9982972145080566,-0.0013029638814695203,0.8858356002012422,-12.337914854288101,-42.64278677628189,34.238281149134096,0.4,38.268489837646484,0.7159221172332764,62050.31640625,249.09900924381455,0.7978786702788021,0.8686736364156368,1.004420518875122,0.0029952534071489073,0.846419802159108,-12.461424618959427,-42.062307089627474,54.549196772720556,,48.196959495544434,0.7487513720989227
128,0.4,90,168,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7525909096002579,42366.7890625,205.83194373687482,0.8318652568821938,0.909776683436267,1.0556631088256836,0.042593821437900435,0.8694984164563846,-10.050221532583237,-23.68843546347995,64.73606412071496,0.4,23.527109622955322,0.7292884886264801,59130.73828125,243.16812760156296,0.8226619354027841,0.8982906075550045,1.010459065437317,0.007086848832261891,0.8551048772603642,-10.319869965314865,-33.37738563156899,41.76902863813169,,44.23035383224487,0.740939699113369
