hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7960214465856552,34944.0234375,186.93320581828152,0.8484986390122592,0.8948916987339476,0.9824895262718201,-0.01339651675228182,0.892304639394646,-10.788920521736145,-22.45709392258278,52.17789965929843,0.4,38.45623016357422
64,0.4,90,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 32: 0.005, 48: 0.001}",0.7868011444807053,36523.57421875,191.111418336922,0.875812808397336,0.9533563917912676,1.0327225923538208,0.025034672478715412,0.889654794752682,-4.578743502497673,-23.957868313936242,-2280.100745089512,0.4,30.849881172180176
128,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7846611142158508,36890.18359375,192.06817433856656,0.8349336613182579,0.8825883327938607,0.9785923361778259,-0.016378091859764663,0.885968826633472,-11.360310018062592,-21.87076512414312,-2246.0002603886846,0.4,41.73092842102051
128,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7834017127752304,37105.9375,192.62901520798988,0.8119235126150781,0.8514725388807333,0.9831233620643616,-0.012911581308345063,0.8858617614797532,-14.728455245494843,-24.44549685260625,-2278.361964695926,0.4,44.73928928375244
64,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7816105484962463,37412.78515625,193.42384846820207,0.8406563779246616,0.8909063360130004,1.0080103874206543,0.006128383654202762,0.8841345777751148,-12.22188025712967,-22.20797522469969,-113.692680839059,0.4,38.26685428619385
64,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7677172273397446,39792.87890625,199.48152522539525,0.7809666453314902,0.8179740212628377,0.9949631690979004,-0.0038534561512037118,0.8782757877142637,-16.608557105064392,-29.395741128776738,31.410067415940674,0.4,41.615447998046875
256,0.4,90,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 32: 0.005, 48: 0.001}",0.7506298124790192,42720.1640625,206.68856780794627,0.8394023344671223,0.9122061871480679,0.975750744342804,-0.018552080238124907,0.867728195749805,-8.266645669937134,-27.63895228242768,16.410871362673692,0.4,38.894362449645996
128,0.4,90,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 32: 0.005, 48: 0.001}",0.7368996143341064,45072.3125,212.30240813518813,0.8161060756540459,0.8824135141930437,1.006652593612671,0.005089647066977423,0.8587692074469927,-11.117395758628845,-29.059781357806504,40.124703744593845,0.4,39.593772888183594
256,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.6540798246860504,59260.359375,243.4345073628634,0.8282094437279492,1.049579616932704,1.017637848854065,0.013493916740337236,0.8364678530170043,7.428499311208725,-22.16891189732061,27.960386662338856,0.4,26.02588653564453
