hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7885683923959732,36220.8203125,190.3176826059523,0.814886069025034,0.857598489378535,1.0411986112594604,0.03151925548363407,0.8891322786198745,-13.836738467216492,-22.884138309478637,-3.5564013776218775,0.4,37.4758243560791
128,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7809746861457825,37521.71875,193.70523676452322,0.8134216403427761,0.854052274521977,0.9890137910842896,-0.008405080725493506,0.8842846210141782,-13.733135163784027,-28.821574627222326,-224.90085886586843,0.4,43.358540534973145
64,0.4,90,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 32: 0.005, 48: 0.001}",0.7775329053401947,38111.3359375,195.22124868338489,0.8497019551112793,0.9238455963187081,1.0572879314422607,0.04382851998469323,0.8837756393504977,-7.33049213886261,-24.716780484065247,-10.633261398428344,0.4,25.291874408721927
128,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7699152678251266,39416.328125,198.53545810509516,0.8117020735410603,0.86059930854119,0.9662402868270874,-0.025828102661504444,0.8780006635426872,-12.908832728862762,-30.699228666916937,-19.545463671939093,0.4,38.178977966308594
128,0.4,90,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 32: 0.005, 48: 0.001}",0.7673654407262802,39853.1484375,199.63253351470547,0.8437491302431347,0.9046636235007517,1.0080935955047607,0.006192088112703805,0.8764694235115218,-11.009196192026138,-30.144195996910955,49.255545743143344,0.4,33.05736541748047
64,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7619735300540924,40776.84765625,201.93278004387994,0.8295377197109889,0.887528525072202,1.0176827907562256,0.013528349590013146,0.8731344205863283,-10.571622103452682,-30.476215335245477,-84.5192447536438,0.4,36.617419719696045
256,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7568791657686234,41649.57421875,204.082273161463,0.7989379891748771,0.8466537094943974,0.9899886250495911,-0.00765928142255595,0.8703442259025249,-11.171933263540268,-39.15698843173059,73.21210472233533,0.4,36.27809524536133
256,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7534041851758957,42244.87890625,205.53559036393187,0.7855847592142892,0.8362764449078092,0.954264760017395,-0.034990042491758605,0.8693218426327405,-14.670087397098541,-32.243840371342756,63.65493401735149,0.4,46.89016342163086
256,0.4,90,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 32: 0.005, 48: 0.001}",0.7436932325363159,43908.484375,209.54351427567497,0.8329179712464718,0.9116317410413762,0.959033191204071,-0.03134192999440374,0.8642458998111135,-9.451569616794586,-21.168458784377204,37.10907497883211,0.4,34.52976703643799
