hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H,_rank_score
256,0.4,90,168,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7943584620952606,5092760.5,2256.7145366660798,0.8775096443822414,0.9550021090461744,0.9592885375022888,-0.019645821532601027,0.8935967394749106,-2.4256300181150436,17.348463114737214,-1960.1971434592635,0.4,41.48660182952881,0.8343370258808136,4307644.5,2075.4865694578707,0.8179893036386509,0.8766634422565993,0.8961488604545593,-0.04890592529876225,0.9155551781986283,-10.280489176511765,-10.32072040438177,-2480.5533903217543,,29.829915364583332,0.8143477439880371
128,0.4,90,336,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8044878393411636,4841903.5,2200.432571109599,0.8529708235965936,0.9139280545920642,0.9390406012535095,-0.029416705235212857,0.8975639192861047,-9.522741287946701,91.86235871879227,-361.1515647969021,0.4,45.41735649108887,0.8175871074199677,4743183.5,2177.88509797923,0.7630865220992572,0.8600223646767569,0.8319223523139954,-0.07915167054253397,0.9089826282038521,-13.517585396766663,-13.228603693940885,-1876.3120044667862,,29.275190830230713,0.8110374733805656
256,0.4,90,336,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7939782589673996,5102176.0,2258.799681246657,0.8703086002923817,0.9645270109502619,0.9336148500442505,-0.03203498377275638,0.8943849533856514,-1.82200837880373,38.49258910536448,-1205.711840280735,0.2,42.04232215881348,0.8102062791585922,4935103.0,2221.5091717118794,0.7987617649901091,0.8683966702332434,0.8831280469894409,-0.05503773057707875,0.9024380329037177,-10.226773470640182,-7.172267936982257,-2472.519908604131,,31.64767821629842,0.8020922690629959
128,0.4,90,168,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7711448967456818,5667649.5,2380.6825701886423,0.8549212785420164,0.936283944040956,0.9484623670578003,-0.024870113859058022,0.8802837854606893,-4.608836397528648,25.547015720697203,-1504.7238299319122,0.6,43.825764656066895,0.7870237529277802,5537906.0,2353.2755894709826,0.8869111818456734,1.0318086680645706,0.9645792245864868,-0.01668048100716501,0.897419991730329,5.520833283662796,-14.21421320181543,-2181.2392924416044,,30.485045909881592,0.779084324836731
64,0.4,90,168,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7541938871145248,6087445.0,2467.274812419565,0.8176938214691397,0.8848863072519693,0.9469471573829651,-0.02560128911338721,0.868966506714161,-8.95736813545227,-4.958142385979064,-2740.232585003294,0.8,47.111592292785645,0.7718367129564285,5932806.5,2435.7353099218312,0.8255756177277281,0.9324060297681164,0.8913106918334961,-0.05118433392503907,0.8815029341728597,-3.150307387113571,-32.78077837583845,-2276.9347433685953,,42.51745144526164,0.7630153000354767
64,0.4,90,336,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7704345881938934,5685240.5,2384.3742365660637,0.7666751839806523,0.8576432588869632,0.858793318271637,-0.06814103008778322,0.8806865428151415,-11.918504536151886,18.708184330092454,-1063.6868492442877,0.6,48.68955135345459,0.7178457081317902,7336705.0,2708.6352652212145,0.8229815222737471,0.9072356183235608,0.9986461997032166,-0.0006375407511873215,0.8492403297514078,-11.058931797742844,-16.15160157828548,-2075.6060272802956,,33.28135212262471,0.7441401481628418
