period,original_index,synthetic_year,orig_start,orig_end
train,0,2200,01/10/1995,30/09/1996
train,1,2201,01/10/1998,30/09/1999
validation,0,2200,01/10/1999,30/09/2000
test,0,2200,01/10/1996,30/09/1997
test,1,2201,01/10/2000,30/09/2001
test,2,2202,01/10/2005,30/09/2006
test,3,2203,01/10/2006,30/09/2007
