hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE,model_type
256,90,1,48,64,"{0: 0.01, 20: 0.005, 30: 0.001}",0.5,0.802096904321179,4899232.206984064,2213.4209285592433,0.8742946646780139,0.9490641129609498,0.9481571650849924,-0.0250221982129312,0.8974344735891568,-6.370274617747908,35.71523943297941,-771.6088259626086,0.6,37.53715167477043,no_physics
64,90,1,48,64,"{0: 0.01, 20: 0.005, 30: 0.001}",0.5,0.8639267157171793,3368591.151047049,1835.3722104922067,0.9117649729692584,1.0193071491024284,1.055024403139305,0.0265577977006299,0.9337809011854168,7.682017709307291,-10.389024269964072,-2383.823465779703,0.0,26.313991880183767,physics
