hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,model_type
64,0.419644698882643,79,276,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",no_physics
64,0.23568434136719008,114,238,1,32,32,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",physics
