number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
43,-1000000000.0,2026-02-24 16:49:04.574635,2026-02-24 16:49:04.581508,0 days 00:00:00.006873,32,96,64,1,0.3460108329053679,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",102,303,COMPLETE
42,-1000000000.0,2026-02-24 16:49:04.566341,2026-02-24 16:49:04.573376,0 days 00:00:00.007035,32,96,64,1,0.22017190655100505,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",145,335,COMPLETE
41,-1000000000.0,2026-02-24 16:49:04.563942,2026-02-24 16:49:04.573128,0 days 00:00:00.009186,32,32,256,1,0.2309519154822069,"((0.5, 0.25), (0.01, 0.005, 0.001))",83,343,COMPLETE
40,-1000000000.0,2026-02-24 16:49:04.556809,2026-02-24 16:49:04.564357,0 days 00:00:00.007548,32,32,128,1,0.31709769980971003,"((0.5, 0.25), (0.01, 0.005, 0.001))",75,297,COMPLETE
39,-1000000000.0,2026-02-24 16:49:04.549358,2026-02-24 16:49:04.562848,0 days 00:00:00.013490,64,32,128,1,0.30619793504724324,"((0.7, 0.2), (0.01, 0.002, 0.0005))",76,139,COMPLETE
38,-1000000000.0,2026-02-24 16:49:04.545219,2026-02-24 16:49:04.554287,0 days 00:00:00.009068,64,64,128,1,0.47397326083195296,"((0.7, 0.2), (0.01, 0.002, 0.0005))",67,267,COMPLETE
37,-1000000000.0,2026-02-24 16:49:04.538147,2026-02-24 16:49:04.547504,0 days 00:00:00.009357,32,64,256,1,0.3954392111499783,"((0.7, 0.2), (0.01, 0.002, 0.0005))",66,239,COMPLETE
36,-1000000000.0,2026-02-24 16:49:04.534194,2026-02-24 16:49:04.543098,0 days 00:00:00.008904,32,96,256,1,0.39237038182423567,"((0.7, 0.2), (0.01, 0.002, 0.0005))",135,223,COMPLETE
35,-1000000000.0,2026-02-24 16:49:04.526893,2026-02-24 16:49:04.536654,0 days 00:00:00.009761,128,96,64,1,0.34083139961231446,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",133,224,COMPLETE
34,-1000000000.0,2026-02-24 16:49:04.525157,2026-02-24 16:49:04.533098,0 days 00:00:00.007941,128,96,64,1,0.3016796340810271,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",90,183,COMPLETE
127,-1000000000.0,2026-02-24 16:49:05.186107,2026-02-24 16:49:05.193245,0 days 00:00:00.007138,32,96,64,1,0.20096904710363286,"((0.7, 0.2), (0.01, 0.002, 0.0005))",62,199,COMPLETE
