number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
0,-1000000000.0,2026-02-24 16:50:16.056119,2026-02-24 16:50:16.057481,0 days 00:00:00.001362,32,32,64,1,0.23568434136719008,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",114,238,COMPLETE
1,-1000000000.0,2026-02-24 16:50:16.056876,2026-02-24 16:50:16.059748,0 days 00:00:00.002872,32,64,64,1,0.49123383376917734,"((0.5, 0.25), (0.01, 0.005, 0.001))",104,160,COMPLETE
94,-1000000000.0,2026-02-24 16:50:16.380660,2026-02-24 16:50:16.389649,0 days 00:00:00.008989,128,32,256,1,0.21333813944105356,"((0.7, 0.2), (0.01, 0.002, 0.0005))",99,123,COMPLETE
93,-1000000000.0,2026-02-24 16:50:16.378566,2026-02-24 16:50:16.387975,0 days 00:00:00.009409,128,32,256,1,0.43064757798147857,"((0.7, 0.2), (0.01, 0.002, 0.0005))",130,127,COMPLETE
92,-1000000000.0,2026-02-24 16:50:16.371887,2026-02-24 16:50:16.380284,0 days 00:00:00.008397,128,32,256,1,0.4384514478599976,"((0.7, 0.2), (0.01, 0.002, 0.0005))",131,162,COMPLETE
91,-1000000000.0,2026-02-24 16:50:16.367539,2026-02-24 16:50:16.378026,0 days 00:00:00.010487,32,96,64,1,0.44673109286417767,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",141,219,COMPLETE
90,-1000000000.0,2026-02-24 16:50:16.361608,2026-02-24 16:50:16.371346,0 days 00:00:00.009738,32,64,256,1,0.3648597630370953,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",106,147,COMPLETE
89,-1000000000.0,2026-02-24 16:50:16.356830,2026-02-24 16:50:16.367015,0 days 00:00:00.010185,32,64,256,1,0.2637834203660866,"((0.7, 0.2), (0.01, 0.002, 0.0005))",105,229,COMPLETE
88,-1000000000.0,2026-02-24 16:50:16.352299,2026-02-24 16:50:16.361159,0 days 00:00:00.008860,128,32,64,1,0.26199831832459863,"((0.7, 0.2), (0.01, 0.002, 0.0005))",114,208,COMPLETE
87,-1000000000.0,2026-02-24 16:50:16.347533,2026-02-24 16:50:16.356458,0 days 00:00:00.008925,128,32,64,1,0.2292910484140327,"((0.5, 0.25), (0.01, 0.005, 0.001))",114,209,COMPLETE
86,-1000000000.0,2026-02-24 16:50:16.342897,2026-02-24 16:50:16.351852,0 days 00:00:00.008955,64,32,128,1,0.2280494429370946,"((0.5, 0.25), (0.01, 0.005, 0.001))",120,359,COMPLETE
85,-1000000000.0,2026-02-24 16:50:16.337623,2026-02-24 16:50:16.347059,0 days 00:00:00.009436,64,32,128,1,0.5177361471048254,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",119,358,COMPLETE
84,-1000000000.0,2026-02-24 16:50:16.334554,2026-02-24 16:50:16.342553,0 days 00:00:00.007999,64,32,128,1,0.24737629975654105,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",113,387,COMPLETE
83,-1000000000.0,2026-02-24 16:50:16.329194,2026-02-24 16:50:16.336998,0 days 00:00:00.007804,64,32,128,1,0.2415105433921833,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",111,372,COMPLETE
82,-1000000000.0,2026-02-24 16:50:16.325885,2026-02-24 16:50:16.333575,0 days 00:00:00.007690,64,32,128,1,0.5721166419042029,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",108,342,COMPLETE
81,-1000000000.0,2026-02-24 16:50:16.319930,2026-02-24 16:50:16.328721,0 days 00:00:00.008791,32,64,128,1,0.3783695278195747,"((0.7, 0.2), (0.01, 0.002, 0.0005))",102,339,COMPLETE
80,-1000000000.0,2026-02-24 16:50:16.317326,2026-02-24 16:50:16.325488,0 days 00:00:00.008162,64,64,128,1,0.5462121036400561,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",103,184,COMPLETE
79,-1000000000.0,2026-02-24 16:50:16.310433,2026-02-24 16:50:16.319494,0 days 00:00:00.009061,64,64,64,1,0.5416838648550857,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",122,310,COMPLETE
78,-1000000000.0,2026-02-24 16:50:16.308347,2026-02-24 16:50:16.316290,0 days 00:00:00.007943,32,32,64,1,0.4931977349778931,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",125,311,COMPLETE
77,-1000000000.0,2026-02-24 16:50:16.302609,2026-02-24 16:50:16.310123,0 days 00:00:00.007514,32,32,256,1,0.42243349538465885,"((0.7, 0.2), (0.01, 0.002, 0.0005))",127,331,COMPLETE
76,-1000000000.0,2026-02-24 16:50:16.299420,2026-02-24 16:50:16.307938,0 days 00:00:00.008518,32,32,256,1,0.40580968396903894,"((0.7, 0.2), (0.01, 0.002, 0.0005))",128,240,COMPLETE
75,-1000000000.0,2026-02-24 16:50:16.292984,2026-02-24 16:50:16.302032,0 days 00:00:00.009048,32,32,256,1,0.29671493368394297,"((0.7, 0.2), (0.01, 0.002, 0.0005))",117,282,COMPLETE
74,-1000000000.0,2026-02-24 16:50:16.290996,2026-02-24 16:50:16.298976,0 days 00:00:00.007980,32,32,256,1,0.2980768096153125,"((0.7, 0.2), (0.01, 0.002, 0.0005))",116,355,COMPLETE
73,-1000000000.0,2026-02-24 16:50:16.285205,2026-02-24 16:50:16.292652,0 days 00:00:00.007447,32,32,256,1,0.46896332900420457,"((0.7, 0.2), (0.01, 0.002, 0.0005))",115,383,COMPLETE
72,-1000000000.0,2026-02-24 16:50:16.283705,2026-02-24 16:50:16.290651,0 days 00:00:00.006946,32,32,256,1,0.4733389330625246,"((0.7, 0.2), (0.01, 0.002, 0.0005))",129,379,COMPLETE
71,-1000000000.0,2026-02-24 16:50:16.276113,2026-02-24 16:50:16.283316,0 days 00:00:00.007203,128,64,64,1,0.2701222881498586,"((0.5, 0.25), (0.01, 0.005, 0.001))",123,267,COMPLETE
