_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score,model_type
1,64,0.3112477241119048,60,336,1,300,128,0.865626434981823,0.7886848688125611,0.8117673386633397,no_physics
5,64,0.2965232158080093,120,336,2,300,64,0.8698032110929489,0.7780472844839096,0.8055740624666213,no_physics
8,128,0.141173935401439,120,336,1,300,128,0.860349178314209,0.8152245551347732,0.8287619420886039,no_physics
11,64,0.218995126500649,90,240,2,300,128,0.8566167518496514,0.7819278597831726,0.8043345274031162,no_physics
12,128,0.2096617418556248,90,168,2,300,128,0.8863501593470573,0.8271665275096893,0.8449216170608996,no_physics
7,256,0.55951102848532,90,168,2,300,128,0.8707962587475777,0.831534506380558,0.8433130320906639,no_physics
16,64,0.1584997935670389,90,168,1,300,128,0.8504670798778534,0.8277216747403144,0.834545296281576,no_physics
15,128,0.5878284297415416,120,168,1,300,128,0.8700509205460548,0.8380856171250344,0.8476752081513403,no_physics
19,64,0.524657495360335,60,168,1,300,64,0.8531797230243683,0.8173052802681923,0.8280676130950451,no_physics
21,64,0.4016575902346008,90,336,1,300,64,0.888413405418396,0.8165717095136642,0.8381242182850837,no_physics
0,256,0.3681343136363829,90,336,1,300,64,0.8459967449307442,0.7954985305666924,0.8106479948759079,no_physics
13,256,0.5724797274144099,120,168,2,300,64,0.8568137958645821,0.8217932730913162,0.8322994299232959,no_physics
22,128,0.3091983944538983,60,240,1,300,128,0.8631015419960022,0.822193843126297,0.8344661527872084,no_physics
6,384,0.4518831595112569,90,168,1,300,128,0.8616208285093307,0.7982438623905181,0.8172569522261619,no_physics
9,384,0.5487488572590166,90,168,1,300,128,0.8300957143306732,0.8135601639747619,0.8185208290815352,no_physics
3,384,0.2599155717514003,60,168,2,300,128,0.8405614554882049,0.8119804501533509,0.8205547517538071,no_physics
18,128,0.5694205926091761,90,336,2,300,128,0.8812482625246048,0.8314806431531906,0.8464109289646148,no_physics
25,64,0.4773189513015098,60,240,1,300,128,0.8683622971177101,0.8230574190616607,0.8366488824784755,no_physics
4,384,0.3670233161254594,60,168,1,300,64,0.8220271244645119,0.7954803735017777,0.8034443987905979,no_physics
29,128,0.1089555762121946,90,168,2,300,128,0.8765374615788459,0.8290192186832428,0.8432746915519236,no_physics
30,128,0.4820463440487936,60,240,2,300,128,0.8674617901444435,0.7798177152872086,0.8061109377443789,no_physics
31,128,0.3734177291564273,60,240,2,300,64,0.863734120130539,0.8294174924492836,0.8397124807536602,no_physics
14,384,0.1379058115560881,120,168,2,300,128,0.8465686500072479,0.7874901741743088,0.8052137169241904,no_physics
2,384,0.5894351371271862,60,240,2,300,128,0.822325836122036,0.7948508128523827,0.8030933198332787,no_physics
24,256,0.597841888279496,60,168,2,300,64,0.8636088468134403,0.8157448619604111,0.8301040574163198,no_physics
20,256,0.0606436844968895,60,336,2,300,128,0.8758399173617363,0.7988076508045197,0.8219173307716846,no_physics
32,128,0.3054971775072732,90,240,1,300,128,0.8760457962751389,0.811781644821167,0.8310608902573585,no_physics
34,64,0.1266987433096715,90,336,2,300,128,0.8538294032216072,0.8050416678190231,0.8196779884397982,no_physics
27,256,0.3319315258492373,60,240,1,300,64,0.8506582006812096,0.7807101547718048,0.8016945685446262,no_physics
23,256,0.3456941977269485,90,336,1,300,128,0.8534850746393203,0.7946407109498977,0.8122940200567244,no_physics
17,384,0.498856911609509,90,168,1,300,128,0.8131117045879364,0.7918316841125488,0.7982156902551649,no_physics
39,128,0.4293353392138576,120,168,2,300,128,0.8553453713655472,0.8337299555540085,0.8402145802974701,no_physics
41,128,0.1922893198317318,120,240,2,300,128,0.877931322157383,0.8167393878102303,0.8350969681143761,no_physics
42,128,0.0579141095998754,120,336,2,300,128,0.8451061546802521,0.8028206646442413,0.8155063116550445,no_physics
44,128,0.4871748696429299,120,336,2,300,128,0.8768020033836365,0.8177545577287674,0.8354687914252281,no_physics
43,128,0.5993786921552372,120,336,2,300,128,0.87372477799654,0.8373044803738594,0.8482305696606636,no_physics
33,256,0.3759088732762853,120,336,2,300,64,0.8654567286372185,0.7949471145868301,0.8160999988019465,no_physics
45,128,0.5970540999047153,120,336,2,300,128,0.8522328585386276,0.8098655804991722,0.8225757639110087,no_physics
46,128,0.5969845610214961,120,336,2,300,128,0.859819521009922,0.8099295675754548,0.8248965536057948,no_physics
47,128,0.5955026944826959,120,336,2,300,128,0.8514283135533333,0.8003842443227768,0.8156974650919437,no_physics
10,384,0.3522661029495087,120,336,2,300,64,0.8550103887915611,0.8172212421894074,0.8285579861700534,no_physics
40,384,0.0565003989274025,120,168,2,300,128,0.8493231698870659,0.8071068674325943,0.8197717581689358,no_physics
36,384,0.4419481355863214,120,240,1,300,64,0.8813568830490113,0.8180294662714005,0.8370276913046837,no_physics
26,384,0.3950646474348075,60,336,1,300,64,0.8556925967335701,0.8387458637356758,0.8438298836350441,no_physics
37,384,0.4773675065995278,120,240,1,300,64,0.877923546731472,0.8291025400161743,0.8437488420307636,no_physics
28,384,0.5492631427748663,120,336,2,300,128,0.8488379180431366,0.8153551697731019,0.8253999942541121,no_physics
35,384,0.4487804063681234,120,240,1,300,64,0.8773650690913201,0.8385290607810021,0.8501798632740974,no_physics
38,384,0.4268108441360869,120,240,1,300,64,0.8560706973075867,0.8194625377655029,0.830444985628128,no_physics
