hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,value,NSE_1H,NSE_1D
128,0.30977154426447706,112,145,1,2,32,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.4713686645030975,0.5641127824783325,0.25496572256088257
128,0.22109817836871218,75,198,1,2,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.40720773339271543,0.4797273874282837,0.2379952073097229
