_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score,model_type
1,64,0.1034744068586576,120,168,1,300,128,0.8819213405251503,0.8507806718349457,0.860122872442007,physics
5,64,0.5530202301062068,120,336,1,300,64,0.8997609078884125,0.856385451555252,0.8693980884552001,physics
2,128,0.4661898780288193,90,168,1,300,128,0.8966979414224625,0.8393997684121132,0.8565892203152179,physics
9,128,0.4811883007890105,60,240,1,300,128,0.90844242349267,0.855175606906414,0.8711556518822907,physics
10,64,0.2469633338046732,120,240,2,300,128,0.8846941992640496,0.8630984783172607,0.8695771946012973,physics
8,128,0.2680327055785131,90,336,2,300,128,0.9203274294734,0.8512517943978309,0.8719744849205016,physics
12,64,0.5643941543315114,120,336,2,300,128,0.8995563626289368,0.8691059857606888,0.8782410988211631,physics
7,256,0.3364067220114141,90,168,2,300,128,0.9138711966574192,0.8508926004171371,0.8697861792892216,physics
6,256,0.1864218139294577,60,240,1,300,128,0.8834826678037644,0.8694609776139259,0.8736674846708774,physics
15,128,0.1189433105752933,120,240,1,300,64,0.8830604776740074,0.8441979467868805,0.8558567060530186,physics
13,128,0.4373474493637163,90,336,2,300,64,0.9245497412979604,0.8493711292743683,0.8719247128814458,physics
17,128,0.2391155333471114,120,240,2,300,128,0.8705417886376381,0.8561810538172722,0.8604892742633818,physics
19,128,0.258378510082605,60,168,1,300,64,0.918526915460825,0.8556352347135544,0.8745027389377356,physics
3,256,0.3543001525374569,120,240,2,300,128,0.8659362182021141,0.8380576103925705,0.8464211927354335,physics
21,128,0.1657170559534339,120,168,1,300,128,0.8699736759066582,0.8496635362505913,0.8557565781474114,physics
25,64,0.0920919237038554,60,168,1,300,64,0.9055458769202231,0.8533552795648575,0.8690124587714672,physics
27,64,0.109292009590223,90,240,1,300,128,0.9050552181899548,0.8570974931120873,0.8714848106354474,physics
28,64,0.1989756903520431,120,168,2,300,64,0.907829362154007,0.850099715590477,0.867418609559536,physics
24,128,0.2446190443622878,90,336,1,300,128,0.8899155057966709,0.8659729391336441,0.8731557091325521,physics
0,384,0.2593431376645619,60,168,2,300,64,0.8927740246057511,0.8613873273134232,0.8708033365011215,physics
29,64,0.2253230093957058,120,336,1,300,128,0.9104628503322602,0.8480982661247254,0.8668076413869857,physics
33,64,0.5223976239181305,60,168,1,300,64,0.8956543542444706,0.8651646092534065,0.8743115327507257,physics
4,384,0.3613628333182537,60,240,2,300,128,0.896558766067028,0.8564090743660927,0.8684539818763732,physics
14,256,0.1747818540462744,90,336,1,300,128,0.8736677221953869,0.8485723063349724,0.8561009310930967,physics
11,384,0.3647735888965885,90,168,2,300,128,0.8728598080575466,0.8344521656632423,0.8459744583815336,physics
23,256,0.0982500301962749,60,240,2,300,64,0.8871028453111649,0.8553543001413345,0.8648788636922835,physics
26,256,0.148810358892398,90,240,1,300,128,0.9026411481201648,0.8716730773448944,0.8809634985774755,physics
16,256,0.5592617751655623,90,336,1,300,128,0.8904302470386029,0.8591009214520454,0.8684997191280126,physics
30,256,0.4266432039290666,60,240,2,300,128,0.8979979924857616,0.8537198945879936,0.8670033239573238,physics
18,256,0.454652245349232,60,336,2,300,64,0.8756260439753533,0.8459015175700187,0.8548188754916191,physics
32,256,0.1282923805929089,90,336,2,300,128,0.8788569331169128,0.8592490777373314,0.8651314343512058,physics
22,384,0.5801167685481599,60,240,2,300,128,0.8892978698015213,0.8576699674129487,0.8671583381295204,physics
36,384,0.1783594242271566,60,240,2,300,128,0.8635770097374916,0.8580333709716796,0.8596964626014232,physics
47,64,0.56923927947251,60,168,1,300,64,0.900989941507578,0.8643383339047432,0.8753338161855935,physics
34,384,0.3152471332832243,120,240,1,300,128,0.8644296854734421,0.8543633669614792,0.8573832625150681,physics
31,384,0.2444306259976281,90,336,2,300,128,0.882127333432436,0.844256991147995,0.8556180938333273,physics
20,384,0.0957628589296112,90,336,2,300,128,0.8815028451383113,0.8350607737898826,0.8489933951944113,physics
37,384,0.5917410241912919,60,336,1,300,64,0.8796749457716941,0.8643354415893555,0.8689372928440571,physics
45,256,0.3997977759171217,60,336,1,300,64,0.8831053741276265,0.8489405736327171,0.8591900137811899,physics
39,384,0.5968555323426937,60,336,2,300,64,0.9050251834094524,0.8404069676995277,0.8597924324125051,physics
38,384,0.5931718156536565,60,336,2,300,64,0.8562665894627571,0.8714321717619896,0.8668824970722199,physics
40,384,0.5868581100835744,60,336,2,300,64,0.8952540941536427,0.8469277828931808,0.8614256762713193,physics
35,384,0.5881121702544305,120,336,2,300,64,0.8864282637834549,0.8413163438439369,0.8548499198257922,physics
46,384,0.589147845671979,60,168,1,300,64,0.8623360104858875,0.8581547498703003,0.8594091280549763,physics
41,384,0.5969982107920032,60,336,2,300,64,0.8865573182702065,0.8698798790574074,0.8748831108212469,physics
42,384,0.5709451489777856,60,336,2,300,64,0.907801664620638,0.8576064482331276,0.8726650131493807,physics
44,384,0.59506382148823,60,336,2,300,64,0.918071572482586,0.8698469564318657,0.8843143412470817,physics
43,384,0.5988189411433724,60,336,2,300,64,0.843331953138113,0.8590547442436218,0.8543379069119691,physics
