hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,model_type
128,0.3552826749458606,65,171,1,96,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",no_physics
64,0.40400595913900433,114,275,1,96,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",physics
