hidden_size,seq_length,num_layers,epochs,batch_size,schedule_pairs,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
128,90,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.4227779507637024,98885.1953125,314.46016490566814,0.4415773215792913,0.56426522731948,1.0802392959594727,0.06138765121514043,0.6600989099229866,-62.358272075653076,-5.8164574580721,28.595374970730937,0.4,76.46647453308105
64,90,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.35124772787094116,111139.203125,333.3754686910841,0.3702295092870246,0.5148945669092204,0.985846996307373,-0.010827840912861295,0.5986481814602735,-68.36438775062561,1.9440730628716565,-216.93931690836897,0.4,81.79085731506348
