hidden_size,seq_length,num_layers,epochs,batch_size,schedule_pairs,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE,model_type
128,90,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.4227779507637024,98885.1953125,314.46016490566814,0.4415773215792913,0.56426522731948,1.0802392959594727,0.06138765121514043,0.6600989099229866,-62.358272075653076,-5.8164574580721,28.595374970730937,0.4,76.46647453308105,no_physics
128,90,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.6335746645927429,62773.14453125,250.54569349970876,0.6412675823049624,0.7006725834148686,1.0090320110321045,0.006910016715047155,0.8024893219025511,-45.3820526599884,4.81274591044916,-2144.5684823099077,0.6,67.57064819335938,physics
