hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE,model_type
128,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7945281606867326,35199.83984375,187.61620357461132,0.7605226920847491,0.7835703694637397,0.9831782987573462,-0.012869554061417291,0.8988831043243408,-22.296009063720703,-18.21772003173828,39.53581619262695,0.4,46.74385452270508,no_physics
64,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8504321836960845,25622.787109375,160.07119387752127,0.8500996131765272,0.8716153872810805,0.9870498584257404,-0.009907591669167411,0.9237123131752014,-12.386993408203125,-14.925639152526855,-21.156694412231445,0.2,36.18613052368164,physics
