hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE,model_type
128,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8120252937078476,32202.3671875,179.4501802381374,0.8150397134967375,0.847903245904371,0.9582298994064331,-0.0319564863157072,0.903396978963668,-16.302001476287842,-0.8953875389160589,-2233.7552448410397,0.4,45.90227127075195,no_physics
64,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8526768237352371,25238.26171875,158.86554604051187,0.8135901628751356,0.828258899638197,0.9857028126716614,-0.010938144003043658,0.9289421907322358,-15.26305079460144,-20.40769006425637,48.60920176964657,0.2,32.60509014129639,physics
