hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE,model_type
64,0.4,90,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.7487448453903198,43043.08203125,207.46826752843432,0.7798939572129401,0.8557459619370257,0.8977348804473877,-0.07823866596955502,0.8689302206039429,-15.920075416564941,-14.006003379821777,16.86304473876953,0.4,44.67490768432617,no_physics
64,0.4,90,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8099860548973083,32551.7109375,180.4209271052003,0.7844159303322851,0.8178252903622152,0.93370521068573,-0.05071929638420398,0.9056926965713501,-17.04859161376953,-13.5404634475708,32.74342346191406,0.2,31.993270874023438,physics
