_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
8,256,0.1,90,168,1,300,64,0.9182000756263733,0.8536642293799435,0.8730249832538723
10,256,0.1,90,336,1,300,64,0.9114511907100677,0.8543017187059297,0.871446560307171
2,128,0.1,90,336,1,300,64,0.9184221923351288,0.8485796032138486,0.8695323799502326
14,256,0.4,90,336,1,300,64,0.9114891588687897,0.8482890303583958,0.8672490689115138
0,128,0.1,90,168,1,300,64,0.9147127419710159,0.8436168549018384,0.8649456210225915
12,256,0.4,90,168,1,300,64,0.9165664911270142,0.8425568963056063,0.8647597747520286
1,128,0.1,90,168,1,300,256,0.8872672468423843,0.8539440304266588,0.8639409953513764
5,128,0.4,90,168,1,300,256,0.9031905382871628,0.8464857575769098,0.8634971917899856
13,256,0.4,90,168,1,300,256,0.8958777040243149,0.847442059178078,0.8619727526319491
4,128,0.4,90,168,1,300,64,0.916018545627594,0.8380099406611792,0.8614125221511035
7,128,0.4,90,336,1,300,256,0.8874100148677826,0.8498400512129878,0.8611110403094262
3,128,0.1,90,336,1,300,256,0.9133743941783905,0.8317893477882237,0.8562648617052736
11,256,0.1,90,336,1,300,256,0.891929492354393,0.8376053490510758,0.8539025920420709
6,128,0.4,90,336,1,300,64,0.8879661560058594,0.837533677276395,0.8526634208952343
9,256,0.1,90,168,1,300,256,0.8955176323652267,0.8340121275282958,0.852463778979375
15,256,0.4,90,336,1,300,256,0.8782778084278107,0.8204973062548284,0.8378314569067231
