_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
10,256,0.1,90,336,1,300,64,0.7636372148990631,0.6995098644648999,0.7187480695951488
6,128,0.4,90,336,1,300,64,0.7158480882644653,0.7082597004322532,0.7105362167819168
4,128,0.4,90,168,1,300,64,0.7496103644371033,0.6707822426492283,0.6944306791855908
0,128,0.1,90,168,1,300,64,0.7892304211854935,0.6517627970562839,0.6930030842950468
13,256,0.4,90,168,1,300,256,0.727320060133934,0.6600366120295023,0.6802216464608317
14,256,0.4,90,336,1,300,64,0.7612555623054504,0.6352622943159224,0.6730602747127807
5,128,0.4,90,168,1,300,256,0.7204185277223587,0.6524686480660082,0.6728536119629134
2,128,0.1,90,336,1,300,64,0.718155711889267,0.6465388464842746,0.6680239061057722
8,256,0.1,90,168,1,300,64,0.7368065863847733,0.6362670857302213,0.6664289359265868
12,256,0.4,90,168,1,300,64,0.7322113811969757,0.635764705443551,0.6646987081695783
11,256,0.1,90,336,1,300,256,0.7129606008529663,0.6245554070281597,0.6510769651756017
15,256,0.4,90,336,1,300,256,0.7100387960672379,0.6218682495905704,0.6483194135335706
9,256,0.1,90,168,1,300,256,0.7404906749725342,0.5842180085964326,0.6310998085092631
3,128,0.1,90,336,1,300,256,0.7197843939065933,0.5773987781383156,0.6201144628687989
1,128,0.1,90,168,1,300,256,0.6806627959012985,0.5652750517368232,0.5998913749861658
7,128,0.4,90,336,1,300,256,0.6632711738348007,0.5389087537644539,0.5762174797855579
