_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score,model_type
2,128,0.1,90,336,1,300,64,0.8823025822639465,0.8498220524748089,0.8595662114115501,no_physics
4,128,0.4,90,168,1,300,64,0.9187987297773361,0.8490782364902006,0.8699943844763411,physics
