_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
12,256,0.4,90,168,1,300,64,0.8102847039699554,0.7501215824330799,0.7681705188941425
2,128,0.1,90,336,1,300,64,0.811854898929596,0.7404039769529702,0.7618392535459579
8,256,0.1,90,168,1,300,64,0.8083268702030182,0.7363101587272007,0.757915172169946
11,256,0.1,90,336,1,300,256,0.7855638116598129,0.7384780325077003,0.752603766253334
4,128,0.4,90,168,1,300,64,0.7953053265810013,0.731644195392585,0.7507425347491099
14,256,0.4,90,336,1,300,64,0.802637055516243,0.7277888152765561,0.7502432873484621
0,128,0.1,90,168,1,300,64,0.8095651865005493,0.7226825409711903,0.748747334629998
6,128,0.4,90,336,1,300,64,0.7974296361207962,0.7263917695145082,0.7477031294963946
10,256,0.1,90,336,1,300,64,0.8120099753141403,0.7090854579353941,0.7399628131490179
1,128,0.1,90,168,1,300,256,0.777714341878891,0.7155460873362537,0.7341965636990448
3,128,0.1,90,336,1,300,256,0.765789121389389,0.7149133736690623,0.7301760979851603
13,256,0.4,90,168,1,300,256,0.8025290369987488,0.698611278122889,0.7297866057856469
9,256,0.1,90,168,1,300,256,0.7825925201177597,0.7025638343885265,0.7265724401072964
5,128,0.4,90,168,1,300,256,0.782162606716156,0.7008429612229331,0.7252388548708999
7,128,0.4,90,336,1,300,256,0.7839757949113846,0.6926189293646047,0.7200259890286387
15,256,0.4,90,336,1,300,256,0.7925530076026917,0.6843778811781019,0.7168304191054788
