_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
9,256,0.1,90,168,1,300,256,0.8536694198846817,0.8582402751288547,0.8568690185556027
15,256,0.4,90,336,1,300,256,0.8470125198364258,0.8587132623050246,0.8552030395644449
0,128,0.1,90,168,1,300,64,0.8615935444831848,0.8521835124034125,0.8550065220273442
11,256,0.1,90,336,1,300,256,0.8703311085700989,0.8480084139521429,0.8547052223375295
1,128,0.1,90,168,1,300,256,0.85109943151474,0.8551673612335684,0.8539469823179198
8,256,0.1,90,168,1,300,64,0.8680134415626526,0.8451746389775966,0.8520262797531133
2,128,0.1,90,336,1,300,64,0.8747367411851883,0.8395804449495171,0.8501273338202184
6,128,0.4,90,336,1,300,64,0.860105961561203,0.8409594206254992,0.8467033829062103
4,128,0.4,90,168,1,300,64,0.8529180735349655,0.8401196148503771,0.8439591524557536
13,256,0.4,90,168,1,300,256,0.8551615178585052,0.8379192382950471,0.8430919221640845
5,128,0.4,90,168,1,300,256,0.8193524777889252,0.8446913240719481,0.8370896701870412
10,256,0.1,90,336,1,300,64,0.8722333610057831,0.8086657197257856,0.8277360121097848
14,256,0.4,90,336,1,300,64,0.8795759826898575,0.799940390578105,0.8238310682116307
3,128,0.1,90,336,1,300,256,0.8625068813562393,0.806140074019195,0.8230501162203081
7,128,0.4,90,336,1,300,256,0.8397337794303894,0.8010869023707525,0.8126809654886435
12,256,0.4,90,168,1,300,64,0.8586340844631195,0.7928829935124155,0.8126083207976267
