hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,model_type
64,0.5909219383008422,92,145,1,2,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",no_physics
128,0.54792883587643,119,232,1,4,32,"((0.7, 0.2), (0.01, 0.002, 0.0005))",physics
