_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,custom_peak_penalty,NSE_1D,NSE_1H,_rank_score,model_type
4,128,0.1709538420836843,90,168,1,300,64,381.2628237203634,0.7630558619275689,0.7835824529937772,0.7774244756739146,physics
2,128,0.3644649631394349,90,168,1,300,64,6210.745344354775,0.7734990268945694,0.7479732033491365,0.7556309504127663,physics
0,128,0.2185557118441792,90,336,1,300,64,4503.78510662996,0.771962396800518,0.7484486394613,0.7555027666630654,physics
5,128,0.1207107947279817,90,168,1,300,64,1760.3719002982546,0.7524198107421398,0.748085990858755,0.7493861368237704,physics
1,256,0.2563572824717228,90,168,1,300,64,8967.25071257258,0.7300944048911333,0.7917557222185222,0.7732573270203055,physics
3,256,0.1333221480010281,90,168,1,300,64,3150.2605192109213,0.7198941819369793,0.7526831202956692,0.7428464387880622,physics
7,128,0.187532005656818,90,336,1,300,64,6063.541515188818,0.7084195092320442,0.7533764275358277,0.7398893520446925,physics
8,128,0.3578536154415105,90,336,1,300,64,9157.088270840091,0.6605305522680283,0.749653426326049,0.7229165641086428,physics
6,256,0.3700131260915197,90,336,1,300,64,547.343321221591,0.7283379975706339,0.8106417652380213,0.785950634937805,physics
10,128,0.1563290447578455,90,336,1,300,64,6655.004097325073,0.6364419292658567,0.742698549938684,0.7108215637368358,physics
12,128,0.2773168803371908,90,168,1,300,64,8015.704827827358,0.7166902460157871,0.7261124337380933,0.7232857774214014,physics
11,256,0.14195656119719,90,168,1,300,64,5001.168353797726,0.7356293424963951,0.7531564415271388,0.7478983118179157,physics
13,256,0.373807192294093,90,168,1,300,64,4588.71820566535,0.7776815183460712,0.7872986805941772,0.7844135319197454,physics
16,128,0.1680314532676118,90,168,1,300,64,4613.478621833028,0.7308311183005571,0.704594742309463,0.7124656551067912,physics
15,128,0.266208582207586,90,336,1,300,64,6521.4994135702045,0.7587572205811739,0.7501566035340397,0.7527367886481799,physics
14,256,0.3397434959372715,90,168,1,300,64,3734.551169636836,0.7258176375180483,0.7628315027218516,0.7517273431607105,physics
18,128,0.2957122299110091,90,336,1,300,64,9723.670323897635,0.6714759524911642,0.7594799383022605,0.7330787425589316,physics
19,256,0.298264423016635,90,336,1,300,64,193.7756511369198,0.7938118912279606,0.8138092635864796,0.8078100518789239,physics
9,256,0.3367876847709217,90,336,1,300,64,7720.939655920111,0.7341075278818607,0.73462445174005,0.7344693745825931,physics
21,256,0.3037776202659183,90,336,1,300,64,42.75352515002487,0.775190781801939,0.8100602265525075,0.7995993931273369,physics
20,256,0.2972899581392459,90,336,1,300,64,98.57130143941646,0.7200918402522802,0.8269708335009253,0.7949071355263316,physics
22,256,0.314096389292425,90,336,1,300,64,315.2443150861524,0.7291036378592253,0.7925522905615159,0.7735176947508287,physics
23,256,0.3032518046558968,90,336,1,300,64,101.89694010889252,0.7900831401348114,0.7898143593665288,0.7898949935970135,physics
17,256,0.2003233558252177,90,336,1,300,64,8829.796947243007,0.7586522568017244,0.7692565007792915,0.7660752275860213,physics
24,256,0.3989143561921867,90,336,1,300,64,45.78097494646562,0.7590496642515063,0.7847599330529544,0.7770468524125199,physics
25,256,0.3976285947659578,90,336,1,300,64,182.53891639305493,0.7277962043881416,0.803524126575252,0.7808057499191188,physics
26,256,0.3224171681029494,90,336,1,300,64,155.91632411832325,0.7472044657915831,0.7715515242036058,0.7642474066799989,physics
27,256,0.3994143774977127,90,336,1,300,64,84.976137490437,0.7879621535539627,0.7792698043359483,0.7818775091013526,physics
28,256,0.3988895944647366,90,336,1,300,64,59.38944885746557,0.8526837695389986,0.8068329113869398,0.8205881688325574,physics
29,256,0.3216539857128502,90,336,1,300,64,40.83736121764832,0.7597388299182057,0.7427285162044786,0.7478316103185967,physics
30,256,0.306987490073653,90,336,1,300,64,1727.1935097915173,0.7279305402189493,0.8122819655126624,0.7869765379245484,physics
