_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score,model_type
5,64,0.1532939931441423,90,168,2,300,128,0.8129778672009706,0.8423727365978358,0.8335542757787763,no_physics
2,64,0.0690619986444997,120,240,1,300,128,0.8052858095616102,0.8175925114276887,0.813900500867865,no_physics
7,64,0.1578328030628054,120,240,1,300,64,0.8278884571045637,0.8176025262844777,0.8206883055305035,no_physics
12,128,0.2537756828526391,90,168,1,300,64,0.8563234489411116,0.8760492933412998,0.8701315400212433,no_physics
4,128,0.5543003670653346,90,168,2,300,128,0.8214128836989403,0.8453552189896449,0.8381725184024335,no_physics
15,64,0.1421924839219952,90,240,2,300,64,0.8089899830520153,0.7876786273936582,0.7940720340911653,no_physics
16,64,0.197498453874252,60,336,2,300,128,0.774274718016386,0.7765711805947874,0.7758822418212669,no_physics
3,128,0.5095865145372414,120,240,1,300,64,0.8692291863262653,0.8652814768994092,0.8664657897274659,no_physics
14,64,0.3979831039762517,120,336,1,300,128,0.8741134535521269,0.7228692478482699,0.768242509559427,no_physics
1,128,0.1997327235705475,120,336,1,300,64,0.874049517326057,0.8450433742442738,0.8537452171688087,no_physics
20,64,0.1125260030096207,90,168,2,300,128,0.7890422102063894,0.8041122979852879,0.7995912716516184,no_physics
21,64,0.5753771437714772,90,240,2,300,64,0.8252429123967886,0.8392288288253207,0.835033053896761,no_physics
17,256,0.0703537758783829,60,168,2,300,64,0.8569577587768435,0.8453039598951402,0.8488000995596512,no_physics
10,256,0.1686297527468937,120,240,1,300,64,0.8910975195467472,0.8255500383671039,0.845214282720997,no_physics
24,128,0.12019083899527,90,336,2,300,128,0.7940403670072556,0.8390610460202317,0.8255548423163388,no_physics
22,128,0.1039659331258637,60,336,1,300,64,0.847472408786416,0.8372972298600797,0.8403497835379806,no_physics
30,64,0.086974484476987,60,168,2,300,128,0.7781659830361605,0.7463045567479545,0.7558629846344163,no_physics
9,256,0.4067813502712626,120,168,1,300,64,0.8767144801095128,0.8416801961567233,0.8521904813425601,no_physics
11,256,0.1833018187084643,60,336,1,300,64,0.8853983348235488,0.8614420251303994,0.8686289180383441,no_physics
29,64,0.0512377424067652,60,336,2,300,64,0.8471889849752188,0.8330589975942058,0.8372979938085097,no_physics
31,64,0.4148038239792955,60,336,2,300,64,0.8561536390334368,0.8359709389396732,0.8420257489678022,no_physics
38,128,0.3554475315939232,60,240,1,300,64,0.8630176391452551,0.8456583880700153,0.8508661633925871,no_physics
13,384,0.3015269854392297,90,168,1,300,64,0.8548111692070961,0.8309093983492447,0.8380799296066002,no_physics
6,384,0.2104090015562749,90,240,1,300,128,0.8108292743563652,0.8098617087449075,0.8101519784283449,no_physics
26,256,0.3442482160029684,120,240,2,300,64,0.8718781871721148,0.8473715746709434,0.8547235584212948,no_physics
19,256,0.1924481228271305,90,336,2,300,128,0.7783989403396845,0.8277086087835371,0.8129157082503813,no_physics
25,256,0.5643979941496868,90,336,2,300,64,0.8761720806360245,0.8166702896413593,0.8345208269397588,no_physics
37,256,0.3628639151092929,60,168,2,300,128,0.799600662663579,0.8215947305429712,0.8149965101791534,no_physics
35,256,0.4473676809114875,120,240,1,300,64,0.866812446154654,0.8474223785201824,0.8532393988105238,no_physics
8,384,0.4182169697762971,60,336,1,300,128,0.7861083634197712,0.8256560930028143,0.8137917741279013,no_physics
28,384,0.0516006595517981,90,240,2,300,128,0.8327688928693533,0.8008514309288712,0.8104266695110158,no_physics
27,384,0.201178172999844,120,168,2,300,128,0.8673748578876257,0.8390079856119157,0.8475180472946287,no_physics
34,384,0.3585594378907692,60,168,2,300,128,0.8136269114911556,0.8562594426852064,0.843469683326991,no_physics
18,384,0.4875468594440406,120,240,1,300,64,0.8142288643866777,0.8251248591081433,0.8218560606917035,no_physics
32,384,0.3883763613555517,90,168,2,300,128,0.8279690854251385,0.8145834291034069,0.8185991259999262,no_physics
0,384,0.499246936494592,120,336,2,300,64,0.8510170299559832,0.8282275660978079,0.8350644052552604,no_physics
39,384,0.350627745027263,60,168,1,300,64,0.8576214537024498,0.8212837520716267,0.8321850625608735,no_physics
36,256,0.5559229110511221,120,336,1,300,128,0.8191878106445074,0.7972877527041727,0.803857770086273,no_physics
40,384,0.3556690922682854,60,168,1,300,64,0.8615903332829475,0.8699643706084,0.8674521594107643,no_physics
42,384,0.3273382538835788,120,168,1,300,64,0.8545776028186083,0.8599248164372284,0.8583206523516422,no_physics
23,384,0.2911292651772467,60,336,2,300,128,0.8087874799966812,0.8304575668055028,0.8239565407628562,no_physics
43,384,0.3395354831937764,120,168,1,300,64,0.8505111588165164,0.873296680732092,0.8664610241574192,no_physics
41,384,0.3259283951945713,120,168,1,300,64,0.8475073287263513,0.8371659542410508,0.8402683665866408,no_physics
46,384,0.3313435693688857,60,168,1,300,64,0.8144899876788259,0.8636815289604968,0.8489240665759955,no_physics
45,384,0.3316632213780723,60,168,1,300,64,0.8541424972936511,0.8743506480954127,0.8682882028548842,no_physics
44,384,0.3318257134652564,120,168,1,300,64,0.8888511378318071,0.8377780468707008,0.8530999741590326,no_physics
33,384,0.561136310179247,90,336,2,300,128,0.8355169352144003,0.8109999304449214,0.818355031875765,no_physics
47,384,0.3142012703995366,120,168,1,300,64,0.8395546535030007,0.8586493918477502,0.8529209703443253,no_physics
