number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
45,-1000000000.0,2026-02-26 16:45:23.182687,2026-02-26 16:45:23.188697,0 days 00:00:00.006010,128,2,64,1,0.41798631488901444,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",75,253,COMPLETE
44,-1000000000.0,2026-02-26 16:45:23.179630,2026-02-26 16:45:23.187474,0 days 00:00:00.007844,128,2,64,1,0.37277748192919286,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",88,335,COMPLETE
43,-1000000000.0,2026-02-26 16:45:23.176217,2026-02-26 16:45:23.182330,0 days 00:00:00.006113,128,2,64,1,0.3699967235045172,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",62,329,COMPLETE
42,-1000000000.0,2026-02-26 16:45:23.171535,2026-02-26 16:45:23.179296,0 days 00:00:00.007761,128,2,64,1,0.3030687801052502,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",67,246,COMPLETE
41,-1000000000.0,2026-02-26 16:45:23.170070,2026-02-26 16:45:23.175280,0 days 00:00:00.005210,64,3,256,1,0.30706209860047007,"((0.5, 0.25), (0.01, 0.005, 0.001))",108,230,COMPLETE
40,-1000000000.0,2026-02-26 16:45:23.164539,2026-02-26 16:45:23.171204,0 days 00:00:00.006665,64,3,256,1,0.2891692835748995,"((0.7, 0.2), (0.01, 0.002, 0.0005))",109,303,COMPLETE
39,-1000000000.0,2026-02-26 16:45:23.162872,2026-02-26 16:45:23.169698,0 days 00:00:00.006826,64,4,256,1,0.24222244783952623,"((0.7, 0.2), (0.01, 0.002, 0.0005))",132,305,COMPLETE
38,-1000000000.0,2026-02-26 16:45:23.157935,2026-02-26 16:45:23.164133,0 days 00:00:00.006198,128,4,64,1,0.13718111072157446,"((0.7, 0.2), (0.01, 0.002, 0.0005))",133,147,COMPLETE
37,-1000000000.0,2026-02-26 16:45:23.155393,2026-02-26 16:45:23.162172,0 days 00:00:00.006779,128,2,64,1,0.1583788388706777,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",140,199,COMPLETE
36,-1000000000.0,2026-02-26 16:45:23.151342,2026-02-26 16:45:23.157385,0 days 00:00:00.006043,128,2,64,1,0.541759743025796,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",139,324,COMPLETE
35,-1000000000.0,2026-02-26 16:45:23.149659,2026-02-26 16:45:23.155016,0 days 00:00:00.005357,128,4,64,1,0.5387194320486007,"((0.5, 0.25), (0.01, 0.005, 0.001))",72,334,COMPLETE
34,-1000000000.0,2026-02-26 16:45:23.144116,2026-02-26 16:45:23.150987,0 days 00:00:00.006871,128,4,64,1,0.32707191523431706,"((0.5, 0.25), (0.01, 0.005, 0.001))",121,170,COMPLETE
127,-1000000000.0,2026-02-26 16:45:23.551901,2026-02-26 16:45:23.560429,0 days 00:00:00.008528,32,2,64,1,0.5580389062836302,"((0.7, 0.2), (0.01, 0.002, 0.0005))",133,335,COMPLETE
