_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,custom_peak_penalty,NSE_1D,NSE_1H,_rank_score,model_type
3,128,0.2443358510581431,90,168,1,300,64,6820.54257654288,0.7274815663695335,0.3408530712825628,0.456841619808654,no_physics
2,128,0.1183368427681822,90,168,1,300,64,9034.636006610825,0.7147339787334204,0.4837779338259053,0.5530647472981598,no_physics
4,128,0.3681159742646727,90,168,1,300,64,9392.596104195776,0.7875521294772625,0.4842810220474347,0.5752623542763831,no_physics
6,128,0.2552557680283371,90,168,1,300,64,126.76314415492112,0.8208389515057206,0.7882288311045179,0.7980118672248787,no_physics
0,128,0.2857546385127413,90,336,1,300,64,9036.469616747234,0.7193253971636295,0.4469219579478621,0.5286429897125924,no_physics
1,256,0.3708894790959153,90,168,1,300,64,3454.132221233725,0.7567331790924072,0.5411138698584552,0.6057996626286408,no_physics
8,128,0.3520304369580427,90,168,1,300,64,3437.163066284137,0.8346072118729353,0.6305572881635085,0.6917722652763365,no_physics
7,128,0.1439224031297304,90,336,1,300,64,8803.569051927625,0.6846297308802605,0.3276090836486863,0.4347152778181585,no_physics
11,128,0.1916240090372768,90,336,1,300,64,4186.4250267734105,0.7505332380533218,0.4037127655542828,0.5077589073039945,no_physics
10,256,0.1580606206745548,90,168,1,300,64,3186.554178425297,0.7371739335358143,0.5191319912337442,0.5845445739243652,no_physics
5,256,0.2216605778485656,90,336,1,300,64,1914.024026991904,0.7885607164353132,0.4659402346704716,0.5627263791999241,no_physics
14,128,0.3140145814059731,90,168,1,300,64,3961.259431954301,0.7567475289106369,0.5511688657922312,0.612842464727753,no_physics
12,256,0.3291526097238273,90,168,1,300,64,6540.84969840807,0.7209092155098915,0.5140493580190454,0.5761073152662992,no_physics
9,256,0.2794794661042076,90,336,1,300,64,7577.227516077291,0.7193414382636547,-0.0514304571725363,0.1798011114583209,no_physics
15,128,0.1802983056911949,90,336,1,300,64,2046.4956012652592,0.7765441760420799,0.5233651167843849,0.5993188345616933,no_physics
19,128,0.1367317416318858,90,168,1,300,64,2397.490204530113,0.7645698115229607,0.51210660873823,0.5878455695736491,no_physics
20,128,0.3066859820449646,90,168,1,300,64,562.0125075767137,0.8039282727986574,0.757849781999046,0.7716733292389294,no_physics
18,128,0.2820846136261794,90,336,1,300,64,6088.983499118062,0.7381644174456596,0.4496803138107856,0.5362255449012479,no_physics
17,128,0.3425478745714613,90,336,1,300,64,9300.347833107702,0.6782612688839436,0.4755662096090418,0.5363747273915124,no_physics
21,128,0.3024765007521983,90,168,1,300,64,177.93214692727088,0.8272596588358283,0.7747293581792821,0.790488448376246,no_physics
16,256,0.1453588604197218,90,168,1,300,64,8869.108590285034,0.7366350553929806,0.5041229699162173,0.5738765955592463,no_physics
22,128,0.3129415093945416,90,168,1,300,64,499.7296276200386,0.8266678340733051,0.6718306688675554,0.7182818184292803,no_physics
23,128,0.3860018954983053,90,168,1,300,64,150.46175211446462,0.8296597311273217,0.8151078377265689,0.8194734057467947,no_physics
13,256,0.130358937354144,90,336,1,300,64,4439.549681073241,0.7328559421002865,0.55781555712702,0.6103276726189999,no_physics
24,128,0.3975375381838033,90,168,1,300,64,451.30847187510136,0.7756720297038555,0.6655128026388595,0.6985605707583582,no_physics
25,128,0.3943285358283891,90,168,1,300,64,217.49259085120764,0.8505297489464283,0.7372553148066601,0.7712376450485905,no_physics
26,128,0.3321402471593279,90,168,1,300,64,553.4503579289005,0.807309940457344,0.738592898602588,0.7592080111590148,no_physics
