number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
116,-1000000000.0,2026-02-26 16:48:35.227281,2026-02-26 16:48:35.238005,0 days 00:00:00.010724,64,3,64,1,0.4859725566210326,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",67,308,COMPLETE
115,-1000000000.0,2026-02-26 16:48:35.220738,2026-02-26 16:48:35.231472,0 days 00:00:00.010734,64,3,64,1,0.13494325993331008,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",70,171,COMPLETE
114,-1000000000.0,2026-02-26 16:48:35.215091,2026-02-26 16:48:35.225776,0 days 00:00:00.010685,64,3,64,1,0.452679611730198,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",72,203,COMPLETE
112,-1000000000.0,2026-02-26 16:48:35.203551,2026-02-26 16:48:35.213519,0 days 00:00:00.009968,64,3,64,1,0.42448375799777205,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",77,209,COMPLETE
98,-1000000000.0,2026-02-26 16:48:35.122620,2026-02-26 16:48:35.131940,0 days 00:00:00.009320,32,4,64,1,0.5188935443683617,"((0.5, 0.25), (0.01, 0.005, 0.001))",94,326,COMPLETE
111,-1000000000.0,2026-02-26 16:48:35.196457,2026-02-26 16:48:35.206666,0 days 00:00:00.010209,32,3,64,1,0.4300027527507132,"((0.5, 0.25), (0.01, 0.005, 0.001))",90,160,COMPLETE
110,-1000000000.0,2026-02-26 16:48:35.190596,2026-02-26 16:48:35.202255,0 days 00:00:00.011659,32,2,64,1,0.31376947871617034,"((0.5, 0.25), (0.01, 0.005, 0.001))",102,213,COMPLETE
109,-1000000000.0,2026-02-26 16:48:35.184881,2026-02-26 16:48:35.195789,0 days 00:00:00.010908,128,2,128,1,0.11563955753248539,"((0.5, 0.25), (0.01, 0.005, 0.001))",102,128,COMPLETE
108,-1000000000.0,2026-02-26 16:48:35.179305,2026-02-26 16:48:35.189888,0 days 00:00:00.010583,128,2,128,1,0.25785027669705235,"((0.7, 0.2), (0.01, 0.002, 0.0005))",97,239,COMPLETE
107,-1000000000.0,2026-02-26 16:48:35.173766,2026-02-26 16:48:35.183235,0 days 00:00:00.009469,64,2,256,1,0.5997757777227298,"((0.7, 0.2), (0.01, 0.002, 0.0005))",70,240,COMPLETE
106,-1000000000.0,2026-02-26 16:48:35.168754,2026-02-26 16:48:35.178643,0 days 00:00:00.009889,64,3,256,1,0.37549963391944124,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",128,245,COMPLETE
105,-1000000000.0,2026-02-26 16:48:35.162086,2026-02-26 16:48:35.173096,0 days 00:00:00.011010,64,3,64,1,0.22932107781035588,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",60,245,COMPLETE
104,-1000000000.0,2026-02-26 16:48:35.157098,2026-02-26 16:48:35.167261,0 days 00:00:00.010163,64,3,64,1,0.2856665914165781,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",99,181,COMPLETE
103,-1000000000.0,2026-02-26 16:48:35.150560,2026-02-26 16:48:35.160295,0 days 00:00:00.009735,64,3,64,1,0.3978453950719811,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",65,186,COMPLETE
102,-1000000000.0,2026-02-26 16:48:35.144475,2026-02-26 16:48:35.155212,0 days 00:00:00.010737,64,3,64,1,0.39892223080778466,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",64,201,COMPLETE
101,-1000000000.0,2026-02-26 16:48:35.139475,2026-02-26 16:48:35.149224,0 days 00:00:00.009749,128,3,64,1,0.10571627757248135,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",105,338,COMPLETE
