date,flow,is_peak
2200-03-18 00:00:00,0.11650735,0.0
2200-03-18 01:00:00,0.0835551,0.0
2200-03-18 02:00:00,0.055672437,0.0
2200-03-18 03:00:00,0.025254978,0.0
2200-03-18 04:00:00,0.004976672,0.0
2200-03-18 05:00:00,-0.015301633,0.0
2200-03-18 06:00:00,-0.03304515,0.0
2200-03-18 07:00:00,-0.04571909,0.0
2200-03-18 08:00:00,-0.0659974,0.0
2200-03-18 09:00:00,-0.07613655,0.0
2200-03-18 10:00:00,-0.09134528,0.0
2200-03-18 11:00:00,-0.10401922,0.0
2200-03-18 12:00:00,-0.111623585,0.0
2200-03-18 13:00:00,-0.12429752,0.0
2200-03-18 14:00:00,-0.13443668,0.0
2200-03-18 15:00:00,-0.13190189,0.0
2200-03-18 16:00:00,-0.111623585,0.0
2200-03-18 17:00:00,-0.10908879,0.0
2200-03-18 18:00:00,-0.10908879,0.0
2200-03-18 19:00:00,-0.10908879,0.0
2200-03-18 20:00:00,-0.11415837,0.0
2200-03-18 21:00:00,-0.12429752,0.0
2200-03-18 22:00:00,-0.1293671,0.0
2200-03-18 23:00:00,-0.13443668,0.0
2200-03-19 00:00:00,-0.14204104,0.0
2200-03-19 00:00:00,-0.14204104,0.0
2200-03-19 01:00:00,-0.14457583,0.0
2200-03-19 01:00:00,-0.14457583,0.0
2200-03-19 02:00:00,-0.14711061,0.0
2200-03-19 02:00:00,-0.14711061,0.0
2200-03-19 03:00:00,-0.15724976,0.0
2200-03-19 03:00:00,-0.15724976,0.0
2200-03-19 04:00:00,-0.15978456,0.0
2200-03-19 04:00:00,-0.15978456,0.0
2200-03-19 05:00:00,-0.16485414,0.0
2200-03-19 05:00:00,-0.16485414,0.0
2200-03-19 06:00:00,-0.16738892,0.0
2200-03-19 06:00:00,-0.16738892,0.0
2200-03-19 07:00:00,-0.17499329,0.0
2200-03-19 07:00:00,-0.17499329,0.0
2200-03-19 08:00:00,-0.17499329,0.0
2200-03-19 08:00:00,-0.17499329,0.0
2200-03-19 09:00:00,-0.17499329,0.0
2200-03-19 09:00:00,-0.17499329,0.0
2200-03-19 10:00:00,-0.18006286,0.0
2200-03-19 10:00:00,-0.18006286,0.0
2200-03-19 11:00:00,-0.18006286,0.0
2200-03-19 11:00:00,-0.18006286,0.0
2200-03-19 12:00:00,-0.19020201,0.0
2200-03-19 12:00:00,-0.19020201,0.0
2200-03-19 13:00:00,-0.19020201,0.0
2200-03-19 13:00:00,-0.19020201,0.0
2200-03-19 14:00:00,-0.19020201,0.0
2200-03-19 14:00:00,-0.19020201,0.0
2200-03-19 15:00:00,-0.19020201,0.0
2200-03-19 15:00:00,-0.19020201,0.0
2200-03-19 16:00:00,-0.19020201,0.0
2200-03-19 16:00:00,-0.19020201,0.0
2200-03-19 17:00:00,-0.19020201,0.0
2200-03-19 17:00:00,-0.19020201,0.0
2200-03-19 18:00:00,-0.1952716,0.0
2200-03-19 18:00:00,-0.1952716,0.0
2200-03-19 19:00:00,-0.19780639,0.0
2200-03-19 19:00:00,-0.19780639,0.0
2200-03-19 20:00:00,-0.20034117,0.0
2200-03-19 20:00:00,-0.20034117,0.0
2200-03-19 21:00:00,-0.20794554,0.0
2200-03-19 21:00:00,-0.20794554,0.0
2200-03-19 22:00:00,-0.20794554,0.0
2200-03-19 22:00:00,-0.20794554,0.0
2200-03-19 23:00:00,-0.20794554,0.0
2200-03-19 23:00:00,-0.20794554,0.0
2200-03-20 00:00:00,-0.20794554,0.0
2200-03-20 00:00:00,-0.20794554,0.0
2200-03-20 00:00:00,-0.20794554,0.0
2200-03-20 01:00:00,-0.20794554,0.0
2200-03-20 01:00:00,-0.20794554,0.0
2200-03-20 01:00:00,-0.20794554,0.0
2200-03-20 02:00:00,-0.20794554,0.0
2200-03-20 02:00:00,-0.20794554,0.0
2200-03-20 02:00:00,-0.20794554,0.0
2200-03-20 03:00:00,-0.21048032,0.0
2200-03-20 03:00:00,-0.21048032,0.0
2200-03-20 03:00:00,-0.21048032,0.0
2200-03-20 04:00:00,-0.21301511,0.0
2200-03-20 04:00:00,-0.21301511,0.0
2200-03-20 04:00:00,-0.21301511,0.0
2200-03-20 05:00:00,-0.21301511,0.0
2200-03-20 05:00:00,-0.21301511,0.0
2200-03-20 05:00:00,-0.21301511,0.0
2200-03-20 06:00:00,-0.20541075,0.0
2200-03-20 06:00:00,-0.20541075,0.0
2200-03-20 06:00:00,-0.20541075,0.0
2200-03-20 07:00:00,-0.19020201,0.0
2200-03-20 07:00:00,-0.19020201,0.0
2200-03-20 07:00:00,-0.19020201,0.0
2200-03-20 08:00:00,-0.16992371,0.0
2200-03-20 08:00:00,-0.16992371,0.0
2200-03-20 08:00:00,-0.16992371,0.0
2200-03-20 09:00:00,-0.13697146,0.0
2200-03-20 09:00:00,-0.13697146,0.0
2200-03-20 09:00:00,-0.13697146,0.0
2200-03-20 10:00:00,-0.093880065,0.0
2200-03-20 10:00:00,-0.093880065,0.0
2200-03-20 10:00:00,-0.093880065,0.0
2200-03-20 11:00:00,-0.06346261,0.0
2200-03-20 11:00:00,-0.06346261,0.0
2200-03-20 11:00:00,-0.06346261,0.0
2200-03-20 12:00:00,-0.055858243,0.0
2200-03-20 12:00:00,-0.055858243,0.0
2200-03-20 12:00:00,-0.055858243,0.0
2200-03-20 13:00:00,-0.055858243,0.0
2200-03-20 13:00:00,-0.055858243,0.0
2200-03-20 13:00:00,-0.055858243,0.0
2200-03-20 14:00:00,-0.06346261,0.0
2200-03-20 14:00:00,-0.06346261,0.0
2200-03-20 14:00:00,-0.06346261,0.0
2200-03-20 15:00:00,-0.078671336,0.0
2200-03-20 15:00:00,-0.078671336,0.0
2200-03-20 15:00:00,-0.078671336,0.0
2200-03-20 16:00:00,-0.09641486,0.0
2200-03-20 16:00:00,-0.09641486,0.0
2200-03-20 16:00:00,-0.09641486,0.0
2200-03-20 17:00:00,-0.10908879,0.0
2200-03-20 17:00:00,-0.10908879,0.0
2200-03-20 17:00:00,-0.10908879,0.0
2200-03-20 18:00:00,-0.12429752,0.0
2200-03-20 18:00:00,-0.12429752,0.0
2200-03-20 18:00:00,-0.12429752,0.0
2200-03-20 19:00:00,-0.13443668,0.0
2200-03-20 19:00:00,-0.13443668,0.0
2200-03-20 19:00:00,-0.13443668,0.0
2200-03-20 20:00:00,-0.14204104,0.0
2200-03-20 20:00:00,-0.14204104,0.0
2200-03-20 20:00:00,-0.14204104,0.0
2200-03-20 21:00:00,-0.1496454,0.0
2200-03-20 21:00:00,-0.1496454,0.0
2200-03-20 21:00:00,-0.1496454,0.0
2200-03-20 22:00:00,-0.15978456,0.0
2200-03-20 22:00:00,-0.15978456,0.0
2200-03-20 22:00:00,-0.15978456,0.0
2200-03-20 23:00:00,-0.16485414,0.0
2200-03-20 23:00:00,-0.16485414,0.0
2200-03-20 23:00:00,-0.16485414,0.0
2200-03-21 00:00:00,-0.16992371,0.0
2200-03-21 00:00:00,-0.16992371,0.0
2200-03-21 00:00:00,-0.16992371,0.0
2200-03-21 00:00:00,-0.16992371,0.0
2200-03-21 01:00:00,-0.17499329,0.0
2200-03-21 01:00:00,-0.17499329,0.0
2200-03-21 01:00:00,-0.17499329,0.0
2200-03-21 01:00:00,-0.17499329,0.0
2200-03-21 02:00:00,-0.18006286,0.0
2200-03-21 02:00:00,-0.18006286,0.0
2200-03-21 02:00:00,-0.18006286,0.0
2200-03-21 02:00:00,-0.18006286,0.0
2200-03-21 03:00:00,-0.18513244,0.0
2200-03-21 03:00:00,-0.18513244,0.0
2200-03-21 03:00:00,-0.18513244,0.0
2200-03-21 03:00:00,-0.18513244,0.0
2200-03-21 04:00:00,-0.19020201,0.0
2200-03-21 04:00:00,-0.19020201,0.0
2200-03-21 04:00:00,-0.19020201,0.0
2200-03-21 04:00:00,-0.19020201,0.0
2200-03-21 05:00:00,-0.1927368,0.0
2200-03-21 05:00:00,-0.1927368,0.0
2200-03-21 05:00:00,-0.1927368,0.0
2200-03-21 05:00:00,-0.1927368,0.0
2200-03-21 06:00:00,-0.19780639,0.0
2200-03-21 06:00:00,-0.19780639,0.0
2200-03-21 06:00:00,-0.19780639,0.0
2200-03-21 06:00:00,-0.19780639,0.0
2200-03-21 07:00:00,-0.19780639,0.0
2200-03-21 07:00:00,-0.19780639,0.0
2200-03-21 07:00:00,-0.19780639,0.0
2200-03-21 07:00:00,-0.19780639,0.0
2200-03-21 08:00:00,-0.20034117,0.0
2200-03-21 08:00:00,-0.20034117,0.0
2200-03-21 08:00:00,-0.20034117,0.0
2200-03-21 08:00:00,-0.20034117,0.0
2200-03-21 09:00:00,-0.20794554,0.0
2200-03-21 09:00:00,-0.20794554,0.0
2200-03-21 09:00:00,-0.20794554,0.0
2200-03-21 09:00:00,-0.20794554,0.0
2200-03-21 10:00:00,-0.20794554,0.0
2200-03-21 10:00:00,-0.20794554,0.0
2200-03-21 10:00:00,-0.20794554,0.0
2200-03-21 10:00:00,-0.20794554,0.0
2200-03-21 11:00:00,-0.20794554,0.0
2200-03-21 11:00:00,-0.20794554,0.0
2200-03-21 11:00:00,-0.20794554,0.0
2200-03-21 11:00:00,-0.20794554,0.0
2200-03-21 12:00:00,-0.20794554,0.0
2200-03-21 12:00:00,-0.20794554,0.0
2200-03-21 12:00:00,-0.20794554,0.0
2200-03-21 12:00:00,-0.20794554,0.0
2200-03-21 13:00:00,-0.20794554,0.0
2200-03-21 13:00:00,-0.20794554,0.0
2200-03-21 13:00:00,-0.20794554,0.0
2200-03-21 13:00:00,-0.20794554,0.0
2200-03-21 14:00:00,-0.21301511,0.0
2200-03-21 14:00:00,-0.21301511,0.0
2200-03-21 14:00:00,-0.21301511,0.0
2200-03-21 14:00:00,-0.21301511,0.0
2200-03-21 15:00:00,-0.21301511,0.0
2200-03-21 15:00:00,-0.21301511,0.0
2200-03-21 15:00:00,-0.21301511,0.0
2200-03-21 15:00:00,-0.21301511,0.0
2200-03-21 16:00:00,-0.21301511,0.0
2200-03-21 16:00:00,-0.21301511,0.0
2200-03-21 16:00:00,-0.21301511,0.0
2200-03-21 16:00:00,-0.21301511,0.0
2200-03-21 17:00:00,-0.21301511,0.0
2200-03-21 17:00:00,-0.21301511,0.0
2200-03-21 17:00:00,-0.21301511,0.0
2200-03-21 17:00:00,-0.21301511,0.0
2200-03-21 18:00:00,-0.21301511,0.0
2200-03-21 18:00:00,-0.21301511,0.0
2200-03-21 18:00:00,-0.21301511,0.0
2200-03-21 18:00:00,-0.21301511,0.0
2200-03-21 19:00:00,-0.22315426,0.0
2200-03-21 19:00:00,-0.22315426,0.0
2200-03-21 19:00:00,-0.22315426,0.0
2200-03-21 19:00:00,-0.22315426,0.0
2200-03-21 20:00:00,-0.22315426,0.0
2200-03-21 20:00:00,-0.22315426,0.0
2200-03-21 20:00:00,-0.22315426,0.0
2200-03-21 20:00:00,-0.22315426,0.0
2200-03-21 21:00:00,-0.22315426,0.0
2200-03-21 21:00:00,-0.22315426,0.0
2200-03-21 21:00:00,-0.22315426,0.0
2200-03-21 21:00:00,-0.22315426,0.0
2200-03-21 22:00:00,-0.22568905,0.0
2200-03-21 22:00:00,-0.22568905,0.0
2200-03-21 22:00:00,-0.22568905,0.0
2200-03-21 22:00:00,-0.22568905,0.0
2200-03-21 23:00:00,-0.22822385,0.0
2200-03-21 23:00:00,-0.22822385,0.0
2200-03-21 23:00:00,-0.22822385,0.0
2200-03-21 23:00:00,-0.22822385,0.0
2200-03-22 00:00:00,-0.22822385,0.0
2200-03-22 00:00:00,-0.22822385,0.0
2200-03-22 00:00:00,-0.22822385,0.0
2200-03-22 00:00:00,-0.22822385,0.0
2200-03-22 00:00:00,-0.22822385,0.0
2200-03-22 01:00:00,-0.22822385,0.0
2200-03-22 01:00:00,-0.22822385,0.0
2200-03-22 01:00:00,-0.22822385,0.0
2200-03-22 01:00:00,-0.22822385,0.0
2200-03-22 01:00:00,-0.22822385,0.0
2200-03-22 02:00:00,-0.22822385,0.0
2200-03-22 02:00:00,-0.22822385,0.0
2200-03-22 02:00:00,-0.22822385,0.0
2200-03-22 02:00:00,-0.22822385,0.0
2200-03-22 02:00:00,-0.22822385,0.0
2200-03-22 03:00:00,-0.23329341,0.0
2200-03-22 03:00:00,-0.23329341,0.0
2200-03-22 03:00:00,-0.23329341,0.0
2200-03-22 03:00:00,-0.23329341,0.0
2200-03-22 03:00:00,-0.23329341,0.0
2200-03-22 04:00:00,-0.238363,0.0
2200-03-22 04:00:00,-0.238363,0.0
2200-03-22 04:00:00,-0.238363,0.0
2200-03-22 04:00:00,-0.238363,0.0
2200-03-22 04:00:00,-0.238363,0.0
2200-03-22 05:00:00,-0.238363,0.0
2200-03-22 05:00:00,-0.238363,0.0
2200-03-22 05:00:00,-0.238363,0.0
2200-03-22 05:00:00,-0.238363,0.0
2200-03-22 05:00:00,-0.238363,0.0
2200-03-22 06:00:00,-0.238363,0.0
2200-03-22 06:00:00,-0.238363,0.0
2200-03-22 06:00:00,-0.238363,0.0
2200-03-22 06:00:00,-0.238363,0.0
2200-03-22 06:00:00,-0.238363,0.0
2200-03-22 07:00:00,-0.238363,0.0
2200-03-22 07:00:00,-0.238363,0.0
2200-03-22 07:00:00,-0.238363,0.0
2200-03-22 07:00:00,-0.238363,0.0
2200-03-22 07:00:00,-0.238363,0.0
2200-03-22 08:00:00,-0.238363,0.0
2200-03-22 08:00:00,-0.238363,0.0
2200-03-22 08:00:00,-0.238363,0.0
2200-03-22 08:00:00,-0.238363,0.0
2200-03-22 08:00:00,-0.238363,0.0
2200-03-22 09:00:00,-0.238363,0.0
2200-03-22 09:00:00,-0.238363,0.0
2200-03-22 09:00:00,-0.238363,0.0
2200-03-22 09:00:00,-0.238363,0.0
2200-03-22 09:00:00,-0.238363,0.0
2200-03-22 10:00:00,-0.238363,0.0
2200-03-22 10:00:00,-0.238363,0.0
2200-03-22 10:00:00,-0.238363,0.0
2200-03-22 10:00:00,-0.238363,0.0
2200-03-22 10:00:00,-0.238363,0.0
2200-03-22 11:00:00,-0.238363,0.0
2200-03-22 11:00:00,-0.238363,0.0
2200-03-22 11:00:00,-0.238363,0.0
2200-03-22 11:00:00,-0.238363,0.0
2200-03-22 11:00:00,-0.238363,0.0
2200-03-22 12:00:00,-0.24089777,0.0
2200-03-22 12:00:00,-0.24089777,0.0
2200-03-22 12:00:00,-0.24089777,0.0
2200-03-22 12:00:00,-0.24089777,0.0
2200-03-22 12:00:00,-0.24089777,0.0
2200-03-22 13:00:00,-0.24343257,0.0
2200-03-22 13:00:00,-0.24343257,0.0
2200-03-22 13:00:00,-0.24343257,0.0
2200-03-22 13:00:00,-0.24343257,0.0
2200-03-22 13:00:00,-0.24343257,0.0
2200-03-22 14:00:00,-0.24343257,0.0
2200-03-22 14:00:00,-0.24343257,0.0
2200-03-22 14:00:00,-0.24343257,0.0
2200-03-22 14:00:00,-0.24343257,0.0
2200-03-22 14:00:00,-0.24343257,0.0
2200-03-22 15:00:00,-0.24089777,0.0
2200-03-22 15:00:00,-0.24089777,0.0
2200-03-22 15:00:00,-0.24089777,0.0
2200-03-22 15:00:00,-0.24089777,0.0
2200-03-22 15:00:00,-0.24089777,0.0
2200-03-22 16:00:00,-0.22315426,0.0
2200-03-22 16:00:00,-0.22315426,0.0
2200-03-22 16:00:00,-0.22315426,0.0
2200-03-22 16:00:00,-0.22315426,0.0
2200-03-22 16:00:00,-0.22315426,0.0
2200-03-22 17:00:00,-0.21048032,0.0
2200-03-22 17:00:00,-0.21048032,0.0
2200-03-22 17:00:00,-0.21048032,0.0
2200-03-22 17:00:00,-0.21048032,0.0
2200-03-22 17:00:00,-0.21048032,0.0
2200-03-22 18:00:00,-0.20034117,0.0
2200-03-22 18:00:00,-0.20034117,0.0
2200-03-22 18:00:00,-0.20034117,0.0
2200-03-22 18:00:00,-0.20034117,0.0
2200-03-22 18:00:00,-0.20034117,0.0
2200-03-22 19:00:00,-0.19780639,0.0
2200-03-22 19:00:00,-0.19780639,0.0
2200-03-22 19:00:00,-0.19780639,0.0
2200-03-22 19:00:00,-0.19780639,0.0
2200-03-22 19:00:00,-0.19780639,0.0
2200-03-22 20:00:00,-0.19780639,0.0
2200-03-22 20:00:00,-0.19780639,0.0
2200-03-22 20:00:00,-0.19780639,0.0
2200-03-22 20:00:00,-0.19780639,0.0
2200-03-22 20:00:00,-0.19780639,0.0
2200-03-22 21:00:00,-0.19020201,0.0
2200-03-22 21:00:00,-0.19020201,0.0
2200-03-22 21:00:00,-0.19020201,0.0
2200-03-22 21:00:00,-0.19020201,0.0
2200-03-22 21:00:00,-0.19020201,0.0
2200-03-22 22:00:00,-0.18006286,0.0
2200-03-22 22:00:00,-0.18006286,0.0
2200-03-22 22:00:00,-0.18006286,0.0
2200-03-22 22:00:00,-0.18006286,0.0
2200-03-22 22:00:00,-0.18006286,0.0
2200-03-22 23:00:00,-0.19020201,0.0
2200-03-22 23:00:00,-0.19020201,0.0
2200-03-22 23:00:00,-0.19020201,0.0
2200-03-22 23:00:00,-0.19020201,0.0
2200-03-22 23:00:00,-0.19020201,0.0
2200-03-23 00:00:00,-0.19020201,0.0
2200-03-23 00:00:00,-0.19020201,0.0
2200-03-23 00:00:00,-0.19020201,0.0
2200-03-23 00:00:00,-0.19020201,0.0
2200-03-23 00:00:00,-0.19020201,0.0
2200-03-23 00:00:00,-0.19020201,0.0
2200-03-23 01:00:00,-0.19020201,0.0
2200-03-23 01:00:00,-0.19020201,0.0
2200-03-23 01:00:00,-0.19020201,0.0
2200-03-23 01:00:00,-0.19020201,0.0
2200-03-23 01:00:00,-0.19020201,0.0
2200-03-23 01:00:00,-0.19020201,0.0
2200-03-23 02:00:00,-0.19020201,0.0
2200-03-23 02:00:00,-0.19020201,0.0
2200-03-23 02:00:00,-0.19020201,0.0
2200-03-23 02:00:00,-0.19020201,0.0
2200-03-23 02:00:00,-0.19020201,0.0
2200-03-23 02:00:00,-0.19020201,0.0
2200-03-23 03:00:00,-0.19020201,0.0
2200-03-23 03:00:00,-0.19020201,0.0
2200-03-23 03:00:00,-0.19020201,0.0
2200-03-23 03:00:00,-0.19020201,0.0
2200-03-23 03:00:00,-0.19020201,0.0
2200-03-23 03:00:00,-0.19020201,0.0
2200-03-23 04:00:00,-0.19020201,0.0
2200-03-23 04:00:00,-0.19020201,0.0
2200-03-23 04:00:00,-0.19020201,0.0
