number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
68,-1000000000.0,2026-02-24 16:50:15.589712,2026-02-24 16:50:15.603747,0 days 00:00:00.014035,128,64,128,1,0.3920805929162397,"((0.7, 0.2), (0.01, 0.002, 0.0005))",102,396,COMPLETE
67,-1000000000.0,2026-02-24 16:50:15.586467,2026-02-24 16:50:15.602503,0 days 00:00:00.016036,32,32,128,1,0.38821983193765175,"((0.5, 0.25), (0.01, 0.005, 0.001))",103,237,COMPLETE
66,-1000000000.0,2026-02-24 16:50:15.565028,2026-02-24 16:50:15.586932,0 days 00:00:00.021904,32,32,128,1,0.404276323139079,"((0.5, 0.25), (0.01, 0.005, 0.001))",90,205,COMPLETE
95,-1000000000.0,2026-02-24 16:50:15.780606,2026-02-24 16:50:15.794665,0 days 00:00:00.014059,64,32,128,1,0.46277424054295085,"((0.7, 0.2), (0.01, 0.002, 0.0005))",136,146,COMPLETE
96,-1000000000.0,2026-02-24 16:50:15.790633,2026-02-24 16:50:15.803526,0 days 00:00:00.012893,64,32,128,1,0.36521665855774366,"((0.7, 0.2), (0.01, 0.002, 0.0005))",91,291,COMPLETE
97,-1000000000.0,2026-02-24 16:50:15.796711,2026-02-24 16:50:15.808578,0 days 00:00:00.011867,64,64,128,1,0.44321480553097964,"((0.7, 0.2), (0.01, 0.002, 0.0005))",90,175,COMPLETE
113,-1000000000.0,2026-02-24 16:50:15.924973,2026-02-24 16:50:15.942110,0 days 00:00:00.017137,32,64,64,1,0.2254830146786004,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",109,386,COMPLETE
126,-1000000000.0,2026-02-24 16:50:16.020891,2026-02-24 16:50:16.032151,0 days 00:00:00.011260,32,64,64,1,0.38537195115100853,"((0.7, 0.2), (0.01, 0.002, 0.0005))",80,131,COMPLETE
125,-1000000000.0,2026-02-24 16:50:16.018662,2026-02-24 16:50:16.030229,0 days 00:00:00.011567,32,64,64,1,0.37493483705578046,"((0.7, 0.2), (0.01, 0.002, 0.0005))",80,212,COMPLETE
124,-1000000000.0,2026-02-24 16:50:16.004335,2026-02-24 16:50:16.017335,0 days 00:00:00.013000,32,64,64,1,0.3021476668974506,"((0.7, 0.2), (0.01, 0.002, 0.0005))",85,197,COMPLETE
123,-1000000000.0,2026-02-24 16:50:16.003833,2026-02-24 16:50:16.019112,0 days 00:00:00.015279,32,64,64,1,0.5833000467236961,"((0.7, 0.2), (0.01, 0.002, 0.0005))",84,223,COMPLETE
122,-1000000000.0,2026-02-24 16:50:15.992643,2026-02-24 16:50:16.002646,0 days 00:00:00.010003,32,64,64,1,0.2673105017498356,"((0.7, 0.2), (0.01, 0.002, 0.0005))",72,185,COMPLETE
121,-1000000000.0,2026-02-24 16:50:15.988863,2026-02-24 16:50:16.002406,0 days 00:00:00.013543,64,32,64,1,0.47993994349884794,"((0.5, 0.25), (0.01, 0.005, 0.001))",72,298,COMPLETE
120,-1000000000.0,2026-02-24 16:50:15.978981,2026-02-24 16:50:15.990739,0 days 00:00:00.011758,64,96,128,1,0.20324811216876035,"((0.7, 0.2), (0.01, 0.002, 0.0005))",143,343,COMPLETE
119,-1000000000.0,2026-02-24 16:50:15.972733,2026-02-24 16:50:15.986822,0 days 00:00:00.014089,128,96,128,1,0.5195881381055871,"((0.7, 0.2), (0.01, 0.002, 0.0005))",143,237,COMPLETE
118,-1000000000.0,2026-02-24 16:50:15.962791,2026-02-24 16:50:15.975829,0 days 00:00:00.013038,128,96,128,1,0.551511641437792,"((0.7, 0.2), (0.01, 0.002, 0.0005))",116,255,COMPLETE
117,-1000000000.0,2026-02-24 16:50:15.958511,2026-02-24 16:50:15.970517,0 days 00:00:00.012006,32,64,64,1,0.5050624724966906,"((0.5, 0.25), (0.01, 0.005, 0.001))",116,315,COMPLETE
116,-1000000000.0,2026-02-24 16:50:15.947998,2026-02-24 16:50:15.961039,0 days 00:00:00.013041,32,64,64,1,0.2422299304565019,"((0.5, 0.25), (0.01, 0.005, 0.001))",77,268,COMPLETE
115,-1000000000.0,2026-02-24 16:50:15.943615,2026-02-24 16:50:15.957206,0 days 00:00:00.013591,32,64,64,1,0.24066919166463568,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",66,272,COMPLETE
114,-1000000000.0,2026-02-24 16:50:15.933296,2026-02-24 16:50:15.945990,0 days 00:00:00.012694,32,64,64,1,0.22692408643480552,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",112,150,COMPLETE
112,-1000000000.0,2026-02-24 16:50:15.916067,2026-02-24 16:50:15.930906,0 days 00:00:00.014839,32,64,64,1,0.22995888364372769,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",121,393,COMPLETE
98,-1000000000.0,2026-02-24 16:50:15.804558,2026-02-24 16:50:15.815040,0 days 00:00:00.010482,32,64,256,1,0.35080791751856044,"((0.5, 0.25), (0.01, 0.005, 0.001))",101,172,COMPLETE
111,-1000000000.0,2026-02-24 16:50:15.912098,2026-02-24 16:50:15.923499,0 days 00:00:00.011401,32,96,256,1,0.29191670532181846,"((0.7, 0.2), (0.01, 0.002, 0.0005))",118,326,COMPLETE
110,-1000000000.0,2026-02-24 16:50:15.904427,2026-02-24 16:50:15.914779,0 days 00:00:00.010352,64,32,256,1,0.39418987623992774,"((0.5, 0.25), (0.01, 0.005, 0.001))",132,327,COMPLETE
109,-1000000000.0,2026-02-24 16:50:15.896149,2026-02-24 16:50:15.909635,0 days 00:00:00.013486,64,32,128,1,0.3958884985763196,"((0.5, 0.25), (0.01, 0.005, 0.001))",62,163,COMPLETE
108,-1000000000.0,2026-02-24 16:50:15.885457,2026-02-24 16:50:15.902372,0 days 00:00:00.016915,128,64,128,1,0.4149459155661489,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",142,163,COMPLETE
107,-1000000000.0,2026-02-24 16:50:15.878130,2026-02-24 16:50:15.895284,0 days 00:00:00.017154,128,64,128,1,0.21162216248063678,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",114,302,COMPLETE
106,-1000000000.0,2026-02-24 16:50:15.860413,2026-02-24 16:50:15.875455,0 days 00:00:00.015042,32,64,128,1,0.4284647409074998,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",74,373,COMPLETE
105,-1000000000.0,2026-02-24 16:50:15.855730,2026-02-24 16:50:15.876185,0 days 00:00:00.020455,32,64,64,1,0.4298162031745706,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",139,378,COMPLETE
104,-1000000000.0,2026-02-24 16:50:15.845059,2026-02-24 16:50:15.859200,0 days 00:00:00.014141,32,64,64,1,0.2782540829484739,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",139,336,COMPLETE
103,-1000000000.0,2026-02-24 16:50:15.841774,2026-02-24 16:50:15.852154,0 days 00:00:00.010380,32,64,64,1,0.2531784255600144,"((0.7, 0.2), (0.01, 0.002, 0.0005))",124,360,COMPLETE
102,-1000000000.0,2026-02-24 16:50:15.831009,2026-02-24 16:50:15.843501,0 days 00:00:00.012492,32,64,64,1,0.24974836430502287,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",106,350,COMPLETE
101,-1000000000.0,2026-02-24 16:50:15.825490,2026-02-24 16:50:15.839164,0 days 00:00:00.013674,128,32,64,1,0.5949631777940845,"((0.5, 0.25), (0.01, 0.005, 0.001))",106,281,COMPLETE
100,-1000000000.0,2026-02-24 16:50:15.816815,2026-02-24 16:50:15.829985,0 days 00:00:00.013170,32,96,64,1,0.5981035782973079,"((0.5, 0.25), (0.01, 0.005, 0.001))",129,279,COMPLETE
99,-1000000000.0,2026-02-24 16:50:15.811456,2026-02-24 16:50:15.821722,0 days 00:00:00.010266,32,96,256,1,0.3504045535425951,"((0.5, 0.25), (0.01, 0.005, 0.001))",101,243,COMPLETE
65,-1000000000.0,2026-02-24 16:50:15.554818,2026-02-24 16:50:15.563282,0 days 00:00:00.008464,128,64,64,1,0.3582726769829228,"((0.5, 0.25), (0.01, 0.005, 0.001))",84,124,COMPLETE
64,-1000000000.0,2026-02-24 16:50:15.553413,2026-02-24 16:50:15.563143,0 days 00:00:00.009730,128,64,64,1,0.34902977979976874,"((0.5, 0.25), (0.01, 0.005, 0.001))",94,178,COMPLETE
63,-1000000000.0,2026-02-24 16:50:15.542309,2026-02-24 16:50:15.552529,0 days 00:00:00.010220,128,64,64,1,0.42294928408298504,"((0.5, 0.25), (0.01, 0.005, 0.001))",98,153,COMPLETE
