water_year,Calpella,Guerneville,Hopland,Warm Springs
1995,0.04410476564105681,0.06719010316305185,0.0698317810021607,0.06816907263783156
1996,0.4658425589052435,0.6836869462918218,0.5663030477217854,0.7508203778811318
1997,0.1495128953950995,0.11626580853694246,0.20629535440222901,0.2247282946060576
1998,0.3014630439640935,0.21392944676808567,0.24347991870965857,0.18101808351969717
1999,0.5427745809317972,0.5924867512914306,0.49218582604584904,0.6608080910070879
2000,0.7537206848434309,0.6536667482568976,0.6318565577093025,0.809222561040672
2001,0.906500863669674,0.9377194493576223,0.9532733269529534,0.9287365699759763
2002,0.4826553149523075,0.783090132902268,0.6654958810755579,0.7805417319915762
2003,0.22162952337159547,0.16066827371836967,0.19590974378145498,0.07764535802834682
2004,0.4515461425205065,0.37492366128748933,0.3668821412474873,0.392475395383006
2005,0.7966515841624857,0.7627348768184327,0.8283490131594722,0.7969092708017959
2006,0.05832882065723222,0.06451029630394445,0.03875879731650078,0.09927226205572692
2007,0.8188204691109928,0.872617770386274,0.7235296580795763,0.865993372967249
2008,0.6140280239651311,0.5228650740896194,0.6222247722894644,0.32675831011361633
2009,0.9476065071753852,0.81359487658487,0.9285322024675261,0.6458543184373657
