water_year,Calpella,Guerneville,Hopland,Warm Springs
1995,0.04250679612960295,0.0661715425542796,0.07080998941322547,0.06812847294838742
1996,0.4708586851799794,0.6859854064189872,0.5631481547834243,0.750870869968826
1997,0.14983259688216632,0.1159271533311993,0.20530323568625697,0.22478335552761475
1998,0.3049571866643799,0.21522284248024015,0.24195802506254782,0.18104557737544102
1999,0.5476426861319579,0.5957461682824969,0.4888554126727772,0.6609097185185941
2000,0.7553501173872,0.6563425488625485,0.6291481638041757,0.8092310272938825
2001,0.9040636926526839,0.9355380257000766,0.9551971027155663,0.9286591254364904
2002,0.48768747626123166,0.7837587562923549,0.6631209463048524,0.780571520123982
2003,0.2235977855614889,0.16107499446375717,0.1950728795934068,0.07760894655721329
2004,0.4565275151214533,0.3781649546929363,0.3640321917455739,0.3926046234520665
2005,0.7971839056965345,0.7637792474387322,0.8284449844043741,0.7969270266597039
2006,0.05683841154727365,0.06346514792374891,0.0399185461093744,0.09924735026290632
2007,0.8187498529481103,0.8715047545997271,0.7218877580094849,0.8659578358076314
2008,0.6182534035976588,0.5264748519681803,0.619433782960856,0.3268657682639191
2009,0.9444501654126836,0.8136705509698394,0.9302872698891982,0.6459625295299077
