,water_year,mav
0,1995,41662.875542857146
1,1996,17919.340128571428
2,1997,36083.50082857142
3,1998,30077.334528571428
4,1999,19658.95767142857
5,2000,18484.87571428571
6,2001,12431.313757142854
7,2002,16033.2302
8,2003,32881.55915714286
9,2004,24538.502642857144
10,2005,16426.61594285714
11,2006,42086.61998571428
12,2007,14164.604028571428
13,2008,21063.86397142857
14,2009,15428.330714285712
