,water_year,mav
0,1995,5585.234967857143
1,1996,2350.0192085714284
2,1997,4071.9224331428572
3,1998,4344.815813285715
4,1999,2581.809910285715
5,2000,2193.1917722857143
6,2001,1801.4587052857144
7,2002,2271.399065142857
8,2003,5417.257569
9,2004,3349.512180571429
10,2005,2227.117414285715
11,2006,5103.0754747142855
12,2007,2026.4147075714295
13,2008,3592.0851785714294
14,2009,2620.259608714287
