,water_year,mav
0,1995,4431.5360977142855
1,1996,2038.916660857143
2,1997,3154.2930557142854
3,1998,2470.1117119999994
4,1999,1879.2880598571428
5,2000,1492.0413994285714
6,2001,1185.7139454285712
7,2002,2002.499372285714
8,2003,2768.7550658571427
9,2004,2070.6884155714283
10,2005,1413.4560371428572
11,2006,4124.740356285714
12,2007,1371.5835134285715
13,2008,1743.6788765714286
14,2009,1071.0491551428572
