,water_year,mav
0,1995,10788.609314285713
1,1996,4912.951100000001
2,1997,7771.273814285715
3,1998,7319.244400000001
4,1999,5341.909600000001
5,2000,4558.052928571429
6,2001,2623.8899142857153
7,2002,4381.107342857144
8,2003,7912.163000000001
9,2004,6188.461614285715
10,2005,3513.444357142858
11,2006,12528.237928571429
12,2007,4078.6799285714287
13,2008,4609.216885714286
14,2009,2850.688114285715
