hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H,model_type
64,0.4,120,168,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.20490515355945604,116911.08185750041,341.9226255419498,0.16973548775654423,0.36807724870330844,1.0552428859777407,0.037679884592000945,0.4643125722650067,-74.38511908642023,-19.904840501356464,53.22497114028103,0.3333333333333333,77.20973713615959,0.4336262741783413,111216.54573481248,333.4914477686234,0.37446991927438145,0.45387444590593334,0.9132024507285286,-0.05186408066022585,0.7075945511819006,-57.402926184991784,-36.79681222111616,84.8659280862045,,73.58515782465288,no_physics
64,0.4,120,168,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.48868224534256743,75184.37848964047,274.19769964323274,0.44978667370408154,0.5340637027243176,1.1131536743302464,0.07717948319431588,0.7301216620397066,-58.685340262015664,-9.70907909674062,66.24729768904788,0.0,60.04671526529827,0.6159448149576378,75415.38229018312,274.61861242491034,0.637600060458445,0.7058180544234834,0.9795893104747677,-0.012195985448351918,0.7893483851720031,-35.68097993365843,-21.04808529619903,92.1941663090542,,53.625986513787325,physics
