,climatic_year,mav
0,1995,178.90424285714286
1,1996,278.76082857142654
2,1997,290.6943714285704
3,1998,210.38032857142647
4,1999,311.9817285714265
5,2000,296.962657142855
6,2001,259.6851999999979
7,2002,187.8835428571413
8,2003,190.52719999999795
9,2004,312.42477142856933
10,2005,270.42577142856936
11,2006,269.52441428571217
12,2007,265.5617857142857
13,2008,171.38448571428572
14,2009,196.25801428571376
15,2010,209.89779999999948
